Shipment ID,Order ID,Product ID,Origin Location ID,Destination Location ID,Carrier ID,Planned Ship Date,Actual Ship Date,Planned Delivery Date,Actual Delivery Date,Delivery Status,Quantity Shipped,Transportation Cost,Freight Type,Tracking Number,Reason for Delay
SHIP0045,ORD05673,PROD005,WH001,CUST108_ADDR,CAR003,5/22/25,5/23/25,5/25/25,5/25/25,Delivered,77,1617,Ground,TRK38207,N/A
SHIP0046,ORD03874,PROD005,WH003,CUST128_ADDR,CAR004,6/9/25,6/9/25,6/15/25,6/15/25,Delivered,168,1963,Rail,TRK90601,N/A
SHIP0047,ORD03326,PROD003,WH003,CUST181_ADDR,CAR003,5/31/25,6/1/25,6/6/25,6/6/25,Delivered,199,1021,LTL,TRK10972,N/A
SHIP0048,ORD02513,PROD002,WH002,CUST144_ADDR,CAR002,5/26/25,5/26/25,5/29/25,5/29/25,Delivered,108,749,LTL,TRK68854,N/A
SHIP0049,ORD01120,PROD003,WH003,CUST119_ADDR,CAR002,6/9/25,6/10/25,6/13/25,6/14/25,Delayed,172,1949,LTL,TRK87753,Mechanical
SHIP0050,ORD04691,PROD002,WH003,CUST191_ADDR,CAR004,5/24/25,5/24/25,5/29/25,5/29/25,Delivered,184,1647,LTL,TRK61730,N/A
SHIP0051,ORD01145,PROD005,WH003,CUST198_ADDR,CAR001,5/28/25,5/28/25,6/2/25,6/2/25,Delivered,25,1284,Rail,TRK48153,N/A
SHIP0052,ORD01444,PROD001,WH002,CUST111_ADDR,CAR002,5/19/25,5/19/25,5/21/25,5/20/25,Delivered,165,1789,LTL,TRK05305,N/A
SHIP0053,ORD01585,PROD003,WH003,CUST139_ADDR,CAR001,5/19/25,5/19/25,5/23/25,5/23/25,Delivered,40,477,Air,TRK49680,N/A
SHIP0054,ORD05771,PROD001,WH001,CUST189_ADDR,CAR001,5/20/25,5/20/25,5/27/25,5/27/25,Delivered,32,1153,Air,TRK61075,N/A
SHIP0055,ORD05253,PROD002,WH001,CUST137_ADDR,CAR001,5/19/25,5/20/25,5/22/25,5/22/25,Delivered,197,607,Ground,TRK05343,N/A
SHIP0056,ORD03160,PROD004,WH003,CUST164_ADDR,CAR002,5/23/25,5/23/25,5/26/25,5/26/25,Delivered,65,984,Air,TRK66462,N/A
SHIP0057,ORD05670,PROD001,WH001,CUST195_ADDR,CAR002,5/26/25,5/26/25,6/1/25,6/2/25,Delayed,186,1567,Rail,TRK36204,Mechanical
SHIP0058,ORD00134,PROD003,WH003,CUST114_ADDR,CAR001,5/17/25,5/17/25,5/23/25,5/23/25,Delivered,107,1659,LTL,TRK41666,N/A
SHIP0059,ORD01646,PROD001,WH001,CUST187_ADDR,CAR001,5/29/25,5/30/25,5/31/25,5/31/25,Delivered,46,1232,LTL,TRK18014,N/A
SHIP0060,ORD02112,PROD005,WH002,CUST159_ADDR,CAR004,5/28/25,5/29/25,6/3/25,6/3/25,Delivered,190,1468,LTL,TRK57712,N/A
SHIP0061,ORD03182,PROD002,WH003,CUST169_ADDR,CAR004,6/14/25,6/14/25,6/20/25,6/20/25,Delivered,21,660,LTL,TRK35400,N/A
SHIP0062,ORD02002,PROD001,WH002,CUST193_ADDR,CAR003,5/22/25,5/22/25,5/27/25,5/27/25,Delivered,123,1675,LTL,TRK64590,N/A
SHIP0063,ORD04940,PROD005,WH003,CUST174_ADDR,CAR003,5/18/25,5/18/25,5/20/25,5/20/25,Delivered,74,1421,LTL,TRK22777,N/A
SHIP0064,ORD01663,PROD004,WH002,CUST153_ADDR,CAR001,6/13/25,6/13/25,6/18/25,6/18/25,Delivered,56,1370,Rail,TRK64893,N/A
SHIP0065,ORD05193,PROD003,WH001,CUST104_ADDR,CAR004,6/11/25,6/11/25,6/14/25,6/14/25,Delivered,92,475,Rail,TRK49365,N/A
SHIP0066,ORD01392,PROD003,WH003,CUST142_ADDR,CAR001,6/2/25,6/3/25,6/4/25,6/4/25,Delivered,157,1980,Air,TRK98698,N/A
SHIP0067,ORD01895,PROD001,WH002,CUST119_ADDR,CAR002,6/8/25,6/8/25,6/15/25,6/15/25,Delivered,199,1657,Ground,TRK99256,N/A
SHIP0068,ORD00923,PROD003,WH001,CUST168_ADDR,CAR004,5/17/25,5/17/25,5/20/25,5/22/25,Delayed,116,938,Air,TRK18036,Traffic
SHIP0069,ORD01404,PROD004,WH003,CUST194_ADDR,CAR003,5/27/25,5/27/25,5/31/25,5/31/25,Delivered,181,937,LTL,TRK27104,N/A
SHIP0070,ORD02670,PROD001,WH002,CUST193_ADDR,CAR003,6/9/25,6/9/25,6/15/25,6/15/25,Delivered,110,535,LTL,TRK26604,N/A
SHIP0071,ORD01872,PROD003,WH002,CUST131_ADDR,CAR004,6/5/25,6/5/25,6/12/25,6/12/25,Delivered,28,504,Ground,TRK79361,N/A
SHIP0072,ORD00554,PROD003,WH002,CUST172_ADDR,CAR004,5/19/25,5/19/25,5/25/25,5/25/25,Delivered,71,997,Air,TRK22576,N/A
SHIP0073,ORD03183,PROD005,WH003,CUST184_ADDR,CAR001,6/14/25,6/14/25,6/19/25,6/18/25,Delivered,61,404,Rail,TRK62849,N/A
SHIP0074,ORD02669,PROD003,WH001,CUST137_ADDR,CAR004,5/20/25,5/21/25,5/22/25,5/22/25,Delivered,191,1077,Air,TRK32342,N/A
SHIP0075,ORD02968,PROD002,WH002,CUST168_ADDR,CAR002,6/3/25,6/3/25,6/6/25,6/8/25,Delayed,122,472,Rail,TRK54788,Weather
SHIP0076,ORD04750,PROD005,WH001,CUST186_ADDR,CAR003,5/21/25,5/21/25,5/23/25,5/24/25,Delayed,125,1450,Rail,TRK61138,Traffic
SHIP0077,ORD00097,PROD002,WH003,CUST149_ADDR,CAR004,5/26/25,5/26/25,5/30/25,5/31/25,Delayed,83,988,Ground,TRK52954,Traffic
SHIP0078,ORD02211,PROD004,WH001,CUST187_ADDR,CAR003,5/25/25,5/26/25,5/31/25,6/1/25,Delayed,168,481,Rail,TRK57937,Weather
SHIP0079,ORD02058,PROD002,WH003,CUST156_ADDR,CAR002,5/24/25,5/24/25,5/29/25,5/29/25,Delivered,76,1442,Rail,TRK86949,N/A
SHIP0080,ORD01869,PROD004,WH003,CUST144_ADDR,CAR001,6/6/25,6/7/25,6/12/25,6/11/25,Delivered,193,595,LTL,TRK46585,N/A
SHIP0081,ORD03957,PROD001,WH001,CUST132_ADDR,CAR002,6/12/25,6/13/25,6/17/25,6/17/25,Delivered,187,526,Air,TRK59940,N/A
SHIP0082,ORD03038,PROD005,WH001,CUST155_ADDR,CAR003,6/11/25,6/11/25,6/18/25,6/17/25,Delivered,36,957,Air,TRK75199,N/A
SHIP0083,ORD05539,PROD002,WH003,CUST193_ADDR,CAR003,5/16/25,5/16/25,5/22/25,5/22/25,Delivered,198,1420,Rail,TRK04763,N/A
SHIP0084,ORD03456,PROD005,WH002,CUST194_ADDR,CAR001,6/1/25,6/1/25,6/7/25,6/7/25,Delivered,175,460,Rail,TRK16787,N/A
SHIP0085,ORD02273,PROD004,WH003,CUST177_ADDR,CAR002,5/17/25,5/17/25,5/24/25,5/24/25,Delivered,47,1034,Air,TRK21625,N/A
SHIP0086,ORD04387,PROD005,WH003,CUST116_ADDR,CAR003,5/31/25,6/1/25,6/4/25,6/4/25,Delivered,13,679,Air,TRK25669,N/A
SHIP0087,ORD05882,PROD004,WH001,CUST169_ADDR,CAR002,6/6/25,6/7/25,6/9/25,6/9/25,Delivered,91,1219,LTL,TRK27353,N/A
SHIP0088,ORD00114,PROD003,WH001,CUST101_ADDR,CAR001,6/2/25,6/2/25,6/5/25,6/5/25,Delivered,148,605,LTL,TRK47573,N/A
SHIP0089,ORD00583,PROD003,WH001,CUST182_ADDR,CAR001,6/7/25,6/8/25,6/9/25,6/9/25,Delivered,156,1958,Rail,TRK35185,N/A
SHIP0090,ORD03318,PROD004,WH002,CUST171_ADDR,CAR004,5/17/25,5/17/25,5/20/25,5/20/25,Delivered,139,1884,Rail,TRK76350,N/A
SHIP0091,ORD03118,PROD004,WH001,CUST164_ADDR,CAR004,5/27/25,5/27/25,6/1/25,6/1/25,Delivered,83,955,Rail,TRK92683,N/A
SHIP0092,ORD04474,PROD005,WH002,CUST139_ADDR,CAR004,5/18/25,5/18/25,5/25/25,5/25/25,Delivered,179,1983,Ground,TRK56360,N/A
SHIP0093,ORD04787,PROD001,WH001,CUST187_ADDR,CAR002,5/23/25,5/24/25,5/28/25,5/27/25,Delivered,37,475,Ground,TRK76471,N/A
SHIP0094,ORD05997,PROD002,WH002,CUST132_ADDR,CAR002,5/25/25,5/26/25,5/30/25,5/30/25,Delivered,189,1247,Ground,TRK49030,N/A
SHIP0095,ORD04501,PROD003,WH002,CUST172_ADDR,CAR002,6/5/25,6/5/25,6/12/25,6/12/25,Delivered,192,620,Ground,TRK32986,N/A
SHIP0096,ORD00400,PROD005,WH003,CUST177_ADDR,CAR003,5/17/25,5/18/25,5/24/25,5/24/25,Delivered,32,1451,LTL,TRK43697,N/A
SHIP0097,ORD02752,PROD004,WH003,CUST166_ADDR,CAR001,6/5/25,6/5/25,6/8/25,6/8/25,Delivered,57,1665,LTL,TRK75571,N/A
SHIP0098,ORD03708,PROD001,WH002,CUST182_ADDR,CAR003,5/18/25,5/18/25,5/20/25,5/20/25,Delivered,76,1188,Rail,TRK42457,N/A
SHIP0099,ORD00973,PROD003,WH001,CUST187_ADDR,CAR003,5/29/25,5/30/25,6/3/25,6/3/25,Delivered,37,672,Rail,TRK01778,N/A
SHIP0100,ORD03008,PROD001,WH001,CUST165_ADDR,CAR002,6/2/25,6/2/25,6/9/25,6/9/25,Delivered,164,426,LTL,TRK54126,N/A
SHIP0101,ORD02213,PROD002,WH003,CUST156_ADDR,CAR003,6/5/25,6/5/25,6/11/25,6/11/25,Delivered,145,1466,Air,TRK02481,N/A
SHIP0102,ORD05824,PROD001,WH002,CUST130_ADDR,CAR003,6/12/25,6/13/25,6/14/25,6/14/25,Delivered,134,709,LTL,TRK54584,N/A
SHIP0103,ORD00637,PROD004,WH001,CUST104_ADDR,CAR003,5/24/25,5/24/25,5/28/25,5/28/25,Delivered,40,587,Rail,TRK91537,N/A
SHIP0104,ORD00955,PROD002,WH003,CUST108_ADDR,CAR001,6/5/25,6/6/25,6/9/25,6/10/25,Delayed,111,308,Air,TRK09715,Weather
SHIP0105,ORD03967,PROD005,WH001,CUST136_ADDR,CAR004,6/14/25,6/14/25,6/18/25,6/18/25,Delivered,120,836,Ground,TRK97108,N/A
SHIP0106,ORD03157,PROD003,WH001,CUST127_ADDR,CAR004,5/15/25,5/15/25,5/22/25,5/22/25,Delivered,129,1316,Rail,TRK76194,N/A
SHIP0107,ORD01140,PROD004,WH002,CUST186_ADDR,CAR001,5/29/25,5/29/25,6/4/25,6/4/25,Delivered,120,1584,Air,TRK94682,N/A
SHIP0108,ORD03523,PROD003,WH003,CUST167_ADDR,CAR004,6/2/25,6/3/25,6/9/25,6/9/25,Delivered,103,447,LTL,TRK06249,N/A
SHIP0109,ORD05502,PROD005,WH002,CUST149_ADDR,CAR003,6/6/25,6/7/25,6/9/25,6/10/25,Delayed,37,1962,LTL,TRK94521,Traffic
SHIP0110,ORD04866,PROD005,WH002,CUST123_ADDR,CAR003,6/9/25,6/9/25,6/13/25,6/13/25,Delivered,131,641,Ground,TRK07207,N/A
SHIP0111,ORD04202,PROD003,WH003,CUST144_ADDR,CAR003,6/11/25,6/12/25,6/13/25,6/13/25,Delivered,21,482,Rail,TRK47674,N/A
SHIP0112,ORD05232,PROD001,WH003,CUST110_ADDR,CAR002,6/3/25,6/4/25,6/7/25,6/7/25,Delivered,136,1051,Ground,TRK57951,N/A
SHIP0113,ORD05575,PROD005,WH001,CUST130_ADDR,CAR002,5/27/25,5/28/25,6/3/25,6/3/25,Delivered,124,1866,LTL,TRK38254,N/A
SHIP0114,ORD01454,PROD001,WH002,CUST158_ADDR,CAR002,6/4/25,6/5/25,6/6/25,6/6/25,Delivered,67,936,Air,TRK67049,N/A
SHIP0115,ORD00015,PROD004,WH001,CUST200_ADDR,CAR001,6/2/25,6/3/25,6/9/25,6/11/25,Delayed,98,1337,Rail,TRK34339,Traffic
SHIP0116,ORD00819,PROD004,WH003,CUST108_ADDR,CAR002,5/22/25,5/23/25,5/28/25,5/28/25,Delivered,184,680,LTL,TRK62061,N/A
SHIP0117,ORD03903,PROD003,WH001,CUST156_ADDR,CAR004,6/13/25,6/13/25,6/20/25,6/20/25,Delivered,181,1093,Rail,TRK89700,N/A
SHIP0118,ORD02953,PROD001,WH001,CUST169_ADDR,CAR004,5/28/25,5/29/25,6/4/25,6/6/25,Delayed,13,797,Rail,TRK12612,Traffic
SHIP0119,ORD00283,PROD002,WH001,CUST176_ADDR,CAR002,6/3/25,6/3/25,6/9/25,6/8/25,Delivered,191,450,Air,TRK60649,N/A
SHIP0120,ORD05452,PROD004,WH003,CUST198_ADDR,CAR001,5/23/25,5/24/25,5/29/25,5/29/25,Delivered,100,698,LTL,TRK94919,N/A
SHIP0121,ORD01817,PROD005,WH003,CUST160_ADDR,CAR004,5/26/25,5/27/25,5/29/25,5/31/25,Delayed,57,692,Ground,TRK52583,Traffic
SHIP0122,ORD03119,PROD004,WH003,CUST119_ADDR,CAR003,6/9/25,6/9/25,6/16/25,6/16/25,Delivered,57,702,LTL,TRK57357,N/A
SHIP0123,ORD04345,PROD004,WH002,CUST128_ADDR,CAR001,5/29/25,5/29/25,6/2/25,6/1/25,Delivered,63,1571,Air,TRK78161,N/A
SHIP0124,ORD03213,PROD001,WH002,CUST138_ADDR,CAR002,5/29/25,5/29/25,6/5/25,6/5/25,Delivered,105,346,LTL,TRK29640,N/A
SHIP0125,ORD04881,PROD002,WH002,CUST182_ADDR,CAR002,6/10/25,6/10/25,6/12/25,6/12/25,Delivered,177,1442,Rail,TRK16709,N/A
SHIP0126,ORD05190,PROD001,WH003,CUST157_ADDR,CAR001,5/18/25,5/18/25,5/23/25,5/23/25,Delivered,108,650,Ground,TRK47509,N/A
SHIP0127,ORD02513,PROD005,WH002,CUST152_ADDR,CAR002,6/5/25,6/5/25,6/8/25,6/10/25,Delayed,195,1461,LTL,TRK57145,Mechanical
SHIP0128,ORD00306,PROD002,WH001,CUST187_ADDR,CAR003,6/1/25,6/1/25,6/6/25,6/5/25,Delivered,44,576,Air,TRK23210,N/A
SHIP0129,ORD03388,PROD002,WH001,CUST166_ADDR,CAR003,5/25/25,5/25/25,5/28/25,5/27/25,Delivered,84,1423,LTL,TRK26725,N/A
SHIP0130,ORD02922,PROD005,WH001,CUST181_ADDR,CAR002,5/17/25,5/17/25,5/19/25,5/20/25,Delayed,51,1727,LTL,TRK38837,Mechanical
SHIP0131,ORD04361,PROD002,WH001,CUST148_ADDR,CAR003,5/29/25,5/29/25,6/5/25,6/4/25,Delivered,183,1619,Ground,TRK40295,N/A
SHIP0132,ORD04073,PROD001,WH001,CUST120_ADDR,CAR004,6/12/25,6/13/25,6/19/25,6/20/25,Delayed,137,1410,Air,TRK00077,Traffic
SHIP0133,ORD04355,PROD003,WH001,CUST104_ADDR,CAR003,5/25/25,5/25/25,5/28/25,5/29/25,Delayed,197,1185,LTL,TRK07689,Customs
SHIP0134,ORD03660,PROD004,WH001,CUST193_ADDR,CAR001,6/8/25,6/8/25,6/11/25,6/11/25,Delivered,20,1755,Rail,TRK82021,N/A
SHIP0135,ORD02751,PROD004,WH001,CUST194_ADDR,CAR004,6/14/25,6/14/25,6/20/25,6/22/25,Delayed,84,1109,LTL,TRK52751,Traffic
SHIP0136,ORD02078,PROD003,WH003,CUST179_ADDR,CAR003,6/7/25,6/8/25,6/9/25,6/9/25,Delivered,117,1200,LTL,TRK74693,N/A
SHIP0137,ORD03604,PROD002,WH001,CUST123_ADDR,CAR003,5/24/25,5/24/25,5/31/25,5/31/25,Delivered,128,1849,Air,TRK84651,N/A
SHIP0138,ORD01085,PROD002,WH002,CUST120_ADDR,CAR004,6/4/25,6/4/25,6/10/25,6/10/25,Delivered,177,462,LTL,TRK81244,N/A
SHIP0139,ORD04590,PROD001,WH001,CUST121_ADDR,CAR001,5/22/25,5/22/25,5/26/25,5/26/25,Delivered,39,753,Ground,TRK35352,N/A
SHIP0140,ORD03309,PROD004,WH001,CUST115_ADDR,CAR004,5/19/25,5/19/25,5/24/25,5/25/25,Delayed,93,682,Rail,TRK38742,Mechanical
SHIP0141,ORD00017,PROD002,WH003,CUST129_ADDR,CAR001,5/31/25,5/31/25,6/3/25,6/4/25,Delayed,109,1519,Rail,TRK04057,Mechanical
SHIP0142,ORD04504,PROD002,WH002,CUST135_ADDR,CAR004,6/14/25,6/14/25,6/21/25,6/21/25,Delivered,78,1146,Air,TRK49495,N/A
SHIP0143,ORD02898,PROD005,WH002,CUST139_ADDR,CAR004,6/10/25,6/10/25,6/14/25,6/15/25,Delayed,138,1732,Air,TRK70388,Traffic
SHIP0144,ORD00379,PROD003,WH002,CUST108_ADDR,CAR001,5/15/25,5/15/25,5/20/25,5/20/25,Delivered,100,799,Ground,TRK78128,N/A
SHIP0145,ORD00134,PROD004,WH003,CUST107_ADDR,CAR002,6/5/25,6/5/25,6/10/25,6/11/25,Delayed,70,593,Ground,TRK85475,Mechanical
SHIP0146,ORD04422,PROD005,WH001,CUST108_ADDR,CAR002,5/25/25,5/25/25,5/28/25,5/28/25,Delivered,21,1199,Rail,TRK76016,N/A
SHIP0147,ORD03053,PROD003,WH002,CUST149_ADDR,CAR004,6/8/25,6/9/25,6/15/25,6/15/25,Delivered,47,970,LTL,TRK67341,N/A
SHIP0148,ORD03638,PROD002,WH001,CUST105_ADDR,CAR002,6/12/25,6/12/25,6/18/25,6/17/25,Delivered,110,1507,Ground,TRK49606,N/A
SHIP0149,ORD02221,PROD002,WH002,CUST108_ADDR,CAR001,5/31/25,6/1/25,6/2/25,6/1/25,Delivered,53,927,LTL,TRK43438,N/A
SHIP0150,ORD03021,PROD004,WH001,CUST115_ADDR,CAR003,6/14/25,6/14/25,6/18/25,6/20/25,Delayed,22,641,Ground,TRK97990,Mechanical
SHIP0151,ORD05535,PROD002,WH002,CUST111_ADDR,CAR003,5/24/25,5/24/25,5/28/25,5/27/25,Delivered,87,1955,LTL,TRK75564,N/A
SHIP0152,ORD01588,PROD004,WH001,CUST108_ADDR,CAR001,5/29/25,5/30/25,6/1/25,6/1/25,Delivered,143,1942,LTL,TRK43992,N/A
SHIP0153,ORD02122,PROD005,WH001,CUST105_ADDR,CAR001,5/25/25,5/25/25,5/29/25,5/29/25,Delivered,159,1271,Ground,TRK64178,N/A
SHIP0154,ORD05228,PROD005,WH003,CUST150_ADDR,CAR004,5/28/25,5/28/25,6/4/25,6/4/25,Delivered,132,629,Rail,TRK10067,N/A
SHIP0155,ORD02937,PROD004,WH003,CUST102_ADDR,CAR001,6/2/25,6/3/25,6/8/25,6/10/25,Delayed,52,1795,Air,TRK34611,Traffic
SHIP0156,ORD00133,PROD004,WH002,CUST173_ADDR,CAR002,5/21/25,5/22/25,5/24/25,5/24/25,Delivered,122,641,LTL,TRK65414,N/A
SHIP0157,ORD00278,PROD005,WH001,CUST158_ADDR,CAR001,5/26/25,5/26/25,5/30/25,5/30/25,Delivered,15,880,Rail,TRK27570,N/A
SHIP0158,ORD03600,PROD004,WH002,CUST143_ADDR,CAR001,6/4/25,6/4/25,6/8/25,6/8/25,Delivered,100,1560,Air,TRK96292,N/A
SHIP0159,ORD02935,PROD003,WH003,CUST159_ADDR,CAR001,6/5/25,6/5/25,6/9/25,6/9/25,Delivered,72,903,LTL,TRK64450,N/A
SHIP0160,ORD05122,PROD004,WH002,CUST156_ADDR,CAR003,6/1/25,6/1/25,6/5/25,6/5/25,Delivered,80,1002,Air,TRK57329,N/A
SHIP0161,ORD03722,PROD005,WH001,CUST116_ADDR,CAR001,5/28/25,5/29/25,6/2/25,6/1/25,Delivered,193,1323,LTL,TRK40337,N/A
SHIP0162,ORD04290,PROD005,WH001,CUST149_ADDR,CAR003,6/7/25,6/7/25,6/12/25,6/13/25,Delayed,19,1205,LTL,TRK98983,Mechanical
