Product ID,Location ID,Date,On-Hand Quantity,Available Quantity,In-Transit Quantity,Safety Stock Level,Reorder Point,Inventory Value,Inventory Status
PROD004,RTL01,6/30/25,901,867,190,149,138,"41,554",Available
PROD005,WH002,7/9/25,736,668,114,94,200,"42,879",Available
PROD005,WH001,6/14/25,214,194,174,134,80,"5,372",Available
PROD005,RTL02,6/16/25,141,121,166,109,17,"37,520",Available
PROD002,RTL01,6/26/25,239,198,8,40,118,"29,718",Available
PROD005,RTL01,7/3/25,142,138,112,12,30,"43,204",Available
PROD003,WH001,6/25/25,834,781,17,54,44,"10,245",Available
PROD001,WH002,7/8/25,241,208,54,106,149,"14,423",Available
PROD004,WH001,7/10/25,277,178,76,113,57,"26,523",Available
PROD004,RTL01,7/9/25,186,149,9,116,60,"16,724",Available
PROD003,RTL01,7/2/25,613,575,113,150,180,"21,305",Available
PROD001,WH002,6/17/25,588,542,86,67,137,"47,862",Available
PROD005,WH001,6/14/25,72,51,163,107,111,"44,902",Low
PROD004,RTL01,7/6/25,986,955,153,110,172,"39,306",Available
PROD004,WH001,7/4/25,231,213,120,106,110,"12,222",Available
PROD004,WH001,6/18/25,437,427,120,141,62,"33,566",Available
PROD005,RTL01,6/21/25,769,722,122,101,40,"18,829",Available
PROD003,WH002,7/2/25,133,77,189,61,121,"29,111",Available
PROD004,RTL02,6/15/25,140,131,127,13,67,"39,169",Available
PROD002,RTL02,7/2/25,583,554,74,141,74,"37,352",Available
PROD003,WH001,7/7/25,55,21,97,68,29,"33,748",Low
PROD004,WH002,7/7/25,982,979,92,72,18,"49,872",Available
PROD001,WH001,6/11/25,434,413,109,143,119,"41,586",Available
PROD003,WH001,6/11/25,929,882,184,63,151,"13,658",Available
PROD005,RTL02,6/26/25,843,768,76,25,112,"4,291",Available
PROD001,RTL02,6/18/25,84,84,60,64,150,"17,707",Available
PROD005,WH002,7/3/25,132,104,11,147,138,"45,075",Available
PROD002,WH001,6/19/25,651,636,73,66,189,"10,032",Available
PROD004,RTL01,7/9/25,105,72,147,86,59,"47,868",Low
PROD002,RTL02,6/25/25,291,271,98,62,40,"43,705",Available
PROD005,RTL02,6/14/25,884,817,47,135,131,"38,570",Available
PROD001,WH001,6/11/25,624,622,133,64,185,"21,658",Available
PROD005,WH002,6/23/25,605,517,14,147,199,"11,495",Available
PROD004,WH002,7/3/25,440,370,136,29,57,"30,789",Available
PROD004,WH001,6/24/25,726,706,45,132,156,"16,745",Available
PROD003,WH002,6/19/25,317,302,12,36,194,"32,127",Available
PROD003,RTL02,7/5/25,555,529,179,51,191,"11,296",Available
PROD003,WH002,6/18/25,246,237,156,107,131,"36,089",Available
PROD003,RTL01,6/25/25,501,467,193,136,145,"30,933",Available
PROD005,WH001,7/3/25,678,637,114,68,126,"37,773",Available
PROD001,RTL01,6/13/25,847,780,80,28,46,"4,260",Available
PROD003,RTL01,6/27/25,209,201,152,113,24,"43,430",Available
PROD002,RTL01,6/17/25,531,496,63,99,27,"32,666",Available
PROD001,WH001,7/4/25,527,471,168,17,167,"9,674",Available
PROD002,RTL01,6/14/25,502,469,101,125,78,"30,844",Available
PROD001,RTL01,7/3/25,435,337,101,88,111,"9,394",Available
PROD001,WH002,6/30/25,200,125,51,83,44,"5,481",Available
PROD005,WH002,6/10/25,699,612,159,121,11,"4,117",Available
PROD002,RTL02,6/20/25,739,719,66,74,164,"26,042",Available
PROD001,WH001,6/12/25,131,102,71,103,176,"23,721",Low
PROD003,WH002,7/7/25,68,30,53,104,111,"19,662",Low
PROD004,WH002,7/6/25,776,709,36,61,120,"29,656",Available
PROD001,WH001,6/14/25,277,202,119,62,165,"42,850",Available
PROD004,RTL02,7/6/25,488,394,164,17,141,"8,861",Available
PROD003,WH001,6/29/25,762,735,37,136,75,"32,860",Available
PROD002,RTL01,7/10/25,159,87,93,95,167,"21,665",Out of Stock
PROD003,RTL02,7/1/25,493,436,146,148,115,"30,362",Available
PROD003,WH002,6/18/25,348,287,36,141,170,"46,509",Available
PROD004,WH001,6/11/25,552,457,13,44,178,"8,423",Available
PROD005,WH002,6/27/25,940,902,30,75,82,"10,275",Available
PROD001,RTL01,7/4/25,676,631,181,117,104,"47,621",Available
PROD003,WH001,7/8/25,476,410,188,115,161,"43,124",Available
PROD003,WH002,7/2/25,614,555,41,24,160,"9,702",Available
PROD002,RTL01,7/6/25,456,394,27,112,97,"16,904",Available
PROD003,WH001,7/8/25,714,626,171,77,21,"41,021",Available
PROD005,WH002,6/26/25,141,51,177,47,86,"9,832",Available
PROD005,RTL01,7/5/25,236,217,76,63,185,"1,138",Available
PROD002,WH001,7/9/25,228,176,75,110,83,"25,295",Available
PROD003,RTL01,7/7/25,852,778,24,58,100,"32,184",Available
PROD005,RTL01,7/5/25,737,640,100,78,190,"25,434",Available
PROD003,RTL01,6/25/25,189,135,186,87,22,"9,386",Available
PROD001,WH001,6/26/25,645,572,35,35,195,"47,768",Available
PROD003,RTL01,6/30/25,124,66,18,139,142,"29,820",Available
PROD001,RTL01,7/6/25,877,861,97,147,18,"39,016",Available
PROD002,RTL02,6/22/25,128,126,124,57,64,"41,485",Available
PROD004,WH001,6/19/25,73,52,186,64,181,"14,753",Low
PROD003,WH002,7/2/25,492,444,38,20,78,"1,064",Available
PROD003,WH002,6/13/25,228,205,59,145,192,"29,202",Available
PROD003,RTL02,6/20/25,227,139,142,75,166,"33,647",Available
PROD004,RTL02,7/2/25,940,879,194,143,33,"27,135",Available
PROD001,RTL01,6/27/25,718,699,23,136,28,"44,179",Available
PROD003,RTL01,7/6/25,383,330,182,43,173,"42,464",Available
PROD002,WH001,6/17/25,971,897,66,93,117,"41,607",Available
PROD005,RTL01,6/12/25,244,185,155,120,138,"49,031",Available
PROD005,WH001,6/10/25,626,614,74,123,154,"44,933",Available
PROD002,RTL01,6/28/25,777,772,137,72,180,"41,341",Available
PROD005,WH002,6/16/25,687,618,51,65,59,"43,672",Available
PROD004,WH001,7/2/25,745,671,81,136,43,"34,656",Available
PROD004,WH002,6/19/25,816,802,91,48,82,"12,204",Available
PROD004,RTL02,6/16/25,913,852,38,72,146,"35,023",Available
PROD004,WH001,7/7/25,875,836,144,113,25,"5,774",Available
PROD002,RTL02,7/4/25,893,852,140,22,152,"44,986",Available
PROD001,RTL02,7/10/25,536,519,149,42,182,"27,293",Available
PROD001,WH001,6/23/25,306,285,108,58,74,"40,362",Available
PROD001,WH001,7/3/25,265,228,4,99,12,"38,695",Available
PROD005,RTL01,6/22/25,228,166,190,113,35,"20,932",Available
PROD002,RTL01,6/28/25,224,222,42,113,46,"34,971",Available
PROD005,WH001,6/18/25,420,325,6,16,144,"48,018",Available
PROD002,WH002,6/27/25,331,248,137,109,83,"40,303",Available
PROD003,WH002,6/27/25,525,482,81,103,153,"40,483",Available
PROD004,RTL01,7/8/25,616,574,19,73,188,"22,836",Available
PROD003,WH002,7/4/25,104,91,193,27,148,"8,831",Available
PROD001,WH002,7/1/25,127,101,111,27,25,"37,425",Available
PROD005,WH001,6/27/25,812,769,132,66,112,"15,720",Available
PROD005,RTL02,6/30/25,318,236,195,52,196,"37,887",Available
PROD003,WH002,6/28/25,528,499,132,140,134,"41,407",Available
PROD005,RTL01,6/18/25,113,45,55,44,158,"8,621",Available
PROD005,RTL02,7/8/25,502,483,93,17,151,"4,231",Available
PROD001,RTL02,7/4/25,348,291,146,119,36,"10,737",Available
PROD002,RTL02,6/26/25,695,609,137,19,45,"22,214",Available
PROD005,WH001,7/2/25,262,255,196,72,108,"25,720",Available
PROD005,WH001,6/27/25,917,830,1,135,160,"31,300",Available
PROD003,WH001,6/23/25,81,0,33,146,137,"27,597",Low
PROD004,RTL02,6/24/25,545,534,162,45,70,"43,388",Available
PROD003,WH002,6/10/25,671,648,122,62,13,"36,508",Available
PROD001,RTL01,6/15/25,983,906,105,81,81,"4,149",Available
PROD004,RTL01,7/5/25,577,538,191,42,191,"27,740",Available
PROD005,RTL01,7/9/25,926,893,16,122,103,"42,402",Available
PROD004,RTL01,6/17/25,274,209,94,91,170,"27,984",Available
PROD003,WH002,6/28/25,99,20,183,52,193,"12,792",Low
PROD003,RTL02,6/11/25,960,922,128,66,29,"32,521",Available
PROD005,WH001,6/17/25,948,898,47,27,105,"37,350",Available
PROD001,RTL02,6/21/25,153,59,78,146,176,"8,896",Low
PROD001,WH002,7/4/25,134,38,2,15,16,"11,034",Available
PROD002,WH002,7/2/25,253,240,139,106,171,"24,076",Available
PROD002,WH001,6/13/25,882,858,55,29,72,"24,325",Available
PROD003,WH002,7/3/25,165,112,81,85,184,"10,616",Available
PROD004,RTL02,6/11/25,302,240,149,109,138,"31,954",Available
PROD004,RTL01,7/7/25,147,77,105,132,170,"30,071",Low
PROD004,WH002,6/24/25,320,222,186,51,141,"40,079",Available
PROD001,WH001,7/1/25,713,655,110,147,72,"43,811",Available
PROD003,RTL02,7/1/25,863,799,58,76,13,"22,408",Available
PROD003,RTL01,6/12/25,830,748,46,73,103,"33,989",Available
PROD005,RTL02,7/2/25,520,492,20,36,136,"31,209",Available
PROD005,WH002,7/7/25,133,85,32,148,146,"1,972",Low
PROD003,WH001,6/17/25,505,471,65,114,65,"49,899",Available
PROD003,WH002,7/3/25,718,689,172,73,93,"26,695",Available
PROD004,WH001,6/29/25,65,0,31,80,88,"34,265",Out of Stock
PROD005,WH001,6/18/25,303,235,33,105,198,"6,060",Available
PROD004,RTL02,6/18/25,268,255,57,65,100,"24,223",Available
PROD001,WH002,7/10/25,629,572,22,64,188,"6,744",Available
PROD002,WH002,6/23/25,929,860,76,122,19,"30,021",Available
PROD003,WH002,6/20/25,293,225,166,134,147,"9,425",Available
PROD003,RTL02,6/20/25,313,276,3,53,185,"15,543",Available
PROD005,WH001,7/6/25,570,514,99,34,120,"15,968",Available
PROD005,RTL02,7/10/25,533,490,38,93,185,"31,383",Available
PROD004,RTL02,6/30/25,125,38,74,143,153,"31,427",Low
PROD004,WH001,6/14/25,554,532,167,48,181,"13,468",Available
PROD002,WH001,6/13/25,774,728,33,118,161,"41,428",Available
PROD005,WH001,6/23/25,468,425,119,105,187,"15,044",Available
PROD005,WH001,6/14/25,247,160,17,146,114,"18,907",Available
PROD004,RTL02,6/15/25,166,125,196,23,52,"25,457",Available
PROD005,RTL01,7/7/25,386,304,81,27,89,"14,357",Available
PROD005,WH002,7/9/25,691,630,44,123,187,"26,300",Available
PROD001,WH002,6/16/25,759,698,158,40,188,"45,451",Available
PROD004,WH002,6/11/25,372,304,132,149,79,"5,693",Available
PROD002,WH001,6/14/25,192,155,90,40,121,"2,599",Available
PROD005,RTL01,6/10/25,437,361,167,137,151,"36,282",Available
PROD004,RTL02,6/20/25,257,206,69,136,31,"31,334",Available
PROD001,WH002,6/11/25,694,666,140,66,121,"5,143",Available
PROD005,RTL02,6/15/25,108,73,183,64,130,"5,691",Available
PROD001,RTL02,6/15/25,762,745,142,120,48,"41,605",Available
PROD001,RTL02,6/14/25,806,735,34,94,133,"34,912",Available
PROD001,WH002,6/19/25,377,304,176,20,198,"37,735",Available
PROD004,RTL01,6/15/25,537,488,77,26,14,"16,209",Available
PROD004,RTL02,6/29/25,869,813,190,147,182,"45,757",Available
PROD005,RTL02,6/29/25,329,325,140,127,158,"6,884",Available
PROD003,WH002,7/8/25,888,876,124,92,88,"7,196",Available
PROD002,WH002,7/3/25,347,284,92,60,20,"37,785",Available
PROD005,WH002,7/2/25,118,84,9,73,47,"40,135",Available
PROD003,WH001,6/21/25,241,197,126,128,61,"5,113",Available
PROD004,WH002,6/10/25,830,780,50,45,151,"14,382",Available
PROD002,WH002,6/21/25,345,343,166,130,169,"19,939",Available
PROD004,WH002,6/23/25,557,550,60,44,127,"24,739",Available
PROD002,RTL02,6/10/25,321,237,168,28,90,"13,852",Available
PROD004,RTL02,6/18/25,410,315,109,40,51,"21,738",Available
PROD002,RTL01,7/6/25,889,839,16,89,200,"20,826",Available
PROD001,WH002,7/8/25,803,801,27,19,109,"22,154",Available
PROD005,RTL01,6/24/25,356,297,63,124,137,"46,451",Available
PROD005,WH001,6/24/25,824,773,30,134,102,"40,941",Available
PROD002,WH002,6/11/25,178,100,112,113,45,"35,999",Available
PROD002,WH001,7/7/25,786,720,95,107,146,"30,879",Available
PROD003,WH002,7/4/25,73,49,98,40,180,"2,644",Available
PROD005,RTL01,6/15/25,521,435,188,140,110,"30,524",Available
PROD003,WH002,6/29/25,723,647,145,86,182,"11,340",Available
PROD003,WH001,7/2/25,192,146,65,33,122,"16,534",Available
PROD003,RTL01,6/17/25,508,492,157,38,22,"49,356",Available
PROD003,WH001,6/27/25,262,259,154,98,36,"39,048",Available
PROD004,RTL02,7/6/25,962,924,151,113,102,"5,280",Available
PROD005,WH002,6/27/25,772,730,24,33,90,"3,267",Available
PROD004,WH002,6/12/25,139,70,25,72,55,"41,525",Out of Stock
PROD001,WH002,7/2/25,698,616,157,33,100,"40,624",Available
PROD002,WH002,6/14/25,365,323,56,123,125,"20,566",Available
PROD002,WH002,7/2/25,826,800,90,123,152,"11,251",Available
PROD002,RTL02,6/23/25,837,812,178,10,40,"9,878",Available
PROD001,WH002,7/2/25,893,819,99,137,116,"21,720",Available
PROD005,WH002,6/12/25,743,672,53,76,111,"16,355",Available
PROD001,RTL02,7/4/25,211,116,164,138,160,"29,031",Available
PROD004,RTL02,6/30/25,597,558,44,45,126,"36,295",Available
PROD004,RTL02,7/8/25,880,850,92,58,89,"19,701",Available
PROD001,RTL02,6/11/25,763,736,190,62,177,"3,210",Available
PROD004,RTL01,6/22/25,462,441,41,110,30,"36,247",Available
PROD003,RTL01,6/11/25,268,221,196,82,10,"8,702",Available
PROD001,WH001,7/7/25,997,914,146,112,27,"40,471",Available
PROD003,RTL01,7/3/25,899,895,57,136,112,"33,852",Available
PROD002,RTL02,7/10/25,704,674,129,70,168,"48,928",Available
PROD002,RTL02,7/8/25,148,122,64,79,81,"3,495",Available
PROD005,RTL01,6/25/25,172,121,89,17,10,"12,601",Available
PROD001,WH002,6/29/25,265,199,97,110,39,"4,242",Available
PROD003,RTL02,6/14/25,148,74,18,98,54,"31,804",Available
PROD001,WH002,7/2/25,222,145,142,16,109,"35,205",Available
PROD004,RTL02,6/17/25,478,453,153,120,174,"8,727",Available
PROD004,WH002,7/7/25,750,718,198,94,153,"32,026",Available
PROD004,WH001,7/6/25,532,503,70,82,93,"28,124",Available
PROD002,WH001,7/5/25,58,0,116,122,54,"27,607",Available
PROD003,RTL01,7/2/25,473,427,54,26,52,"22,564",Available
PROD004,WH002,6/28/25,235,222,115,101,74,"31,914",Available
PROD004,WH002,6/19/25,360,305,135,19,113,"7,546",Available
PROD005,WH001,7/2/25,205,195,97,12,85,"49,491",Available
PROD001,WH001,6/16/25,67,0,173,65,133,"6,041",Low
PROD002,WH001,6/17/25,174,148,195,24,93,"16,046",Available
PROD003,WH001,6/14/25,617,537,155,35,93,"18,870",Available
PROD004,WH001,6/27/25,599,561,119,138,106,"1,629",Available
PROD003,RTL01,7/10/25,341,301,16,17,164,"6,991",Available
PROD003,WH001,6/26/25,872,871,160,73,12,"34,256",Available
PROD005,WH001,6/13/25,483,472,86,94,30,"7,580",Available
PROD005,WH002,6/17/25,436,390,166,45,80,"27,783",Available
PROD002,WH002,6/12/25,264,256,132,90,175,"5,931",Available
PROD004,WH002,6/27/25,866,825,29,48,40,"7,173",Available
PROD004,WH001,6/20/25,898,886,187,106,114,"19,595",Available
PROD004,WH002,7/9/25,236,205,138,100,185,"31,994",Available
PROD005,RTL01,6/29/25,414,330,198,142,142,"20,341",Available
PROD002,RTL02,6/20/25,146,66,151,23,199,"20,737",Available
PROD005,RTL02,7/6/25,879,847,98,46,94,"34,368",Available
PROD003,RTL02,7/3/25,259,211,59,63,161,"30,559",Available
PROD001,RTL02,6/27/25,609,604,188,38,144,"49,354",Available
PROD005,RTL01,7/7/25,236,151,167,80,157,"11,162",Available
PROD005,RTL01,6/28/25,468,413,77,18,169,"14,104",Available
PROD003,WH001,6/15/25,975,926,155,115,160,"19,989",Available
PROD004,RTL01,6/24/25,274,224,37,29,12,"34,555",Available
PROD003,RTL02,6/18/25,501,462,126,117,189,"37,491",Available
PROD003,WH002,6/30/25,198,193,42,30,180,"17,991",Available
PROD004,RTL02,6/11/25,638,600,17,115,197,"11,290",Available
PROD002,WH001,6/25/25,521,497,2,74,34,"44,459",Available
PROD002,RTL02,6/24/25,494,464,23,40,132,"31,541",Available
PROD004,WH001,7/4/25,622,540,32,150,52,"33,666",Available
PROD004,WH002,6/27/25,607,525,118,112,143,"11,634",Available
PROD003,RTL01,6/25/25,186,137,149,56,65,"11,695",Available
PROD002,RTL01,6/22/25,117,86,106,94,188,"37,625",Available
PROD002,WH002,6/17/25,414,371,42,48,45,"28,342",Available
PROD005,RTL01,7/5/25,364,364,4,50,107,"17,443",Available
PROD001,WH001,7/6/25,781,767,145,64,24,"19,911",Available
PROD001,RTL02,6/14/25,992,967,142,21,46,"41,904",Available
PROD003,WH001,7/4/25,568,507,16,98,143,"17,457",Available
PROD002,WH002,6/27/25,465,429,1,17,68,"5,372",Available
PROD003,WH001,7/6/25,124,55,23,87,71,"6,071",Available
PROD001,RTL02,6/29/25,340,257,80,140,180,"26,003",Available
PROD002,RTL01,7/9/25,689,601,65,36,161,"39,329",Available
PROD001,WH002,6/19/25,432,418,184,80,183,"1,283",Available
PROD003,RTL01,7/7/25,650,636,31,76,173,"18,917",Available
PROD001,WH001,6/12/25,262,246,46,110,37,"19,455",Available
