Purchase Order ID,Product ID,Supplier ID,Order Date,Requested Delivery Date (Supplier),Actual Delivery Date (Supplier),Quantity Ordered,Quantity Received,Unit Cost,Total PO Value,Payment Terms,Supplier Lead Time (Standard),Supplier Quality Rating
PO0030,PROD003,SUPP003,4/16/25,5/2/25,4/30/25,103,101,113,"11,639",Net 60,16,C
PO0031,PROD003,SUPP004,5/30/25,6/13/25,6/11/25,383,378,116,"44,428",Net 60,14,A
PO0032,PROD001,SUPP001,4/22/25,5/11/25,5/9/25,108,106,143,"15,444",Net 45,19,B
PO0033,PROD002,SUPP003,4/16/25,5/1/25,4/30/25,397,393,56,"22,232",Net 60,15,A
PO0034,PROD001,SUPP001,5/2/25,5/13/25,5/12/25,121,118,162,"19,602",Net 45,11,C
PO0035,PROD004,SUPP004,4/26/25,5/11/25,5/11/25,304,299,98,"29,792",Net 60,15,A
PO0036,PROD004,SUPP001,5/19/25,6/6/25,6/9/25,463,462,134,"62,042",Net 30,18,A
PO0037,PROD001,SUPP001,5/19/25,5/31/25,5/29/25,301,297,185,"55,685",Net 45,12,B
PO0038,PROD005,SUPP002,4/23/25,5/6/25,5/9/25,122,117,163,"19,886",Net 60,13,A
PO0039,PROD001,SUPP004,5/2/25,5/18/25,5/18/25,185,180,156,"28,860",Net 45,16,C
PO0040,PROD002,SUPP002,4/8/25,4/20/25,4/19/25,392,391,129,"50,568",Net 45,12,C
PO0041,PROD001,SUPP004,4/9/25,4/20/25,4/19/25,233,232,109,"25,397",Net 60,11,A
PO0042,PROD003,SUPP004,5/20/25,5/31/25,6/3/25,340,338,161,"54,740",Net 45,11,A
PO0043,PROD002,SUPP004,5/10/25,5/24/25,5/27/25,210,205,99,"20,790",Net 60,14,B
PO0044,PROD004,SUPP004,4/27/25,5/11/25,5/12/25,428,426,196,"83,888",Net 30,14,A
PO0045,PROD002,SUPP001,4/28/25,5/16/25,5/15/25,142,141,91,"12,922",Net 60,18,A
PO0046,PROD002,SUPP001,4/17/25,4/30/25,5/2/25,477,477,80,"38,160",Net 45,13,B
PO0047,PROD002,SUPP003,5/16/25,6/4/25,6/7/25,361,357,99,"35,739",Net 30,19,B
PO0048,PROD001,SUPP003,4/19/25,5/4/25,5/5/25,44,41,159,"6,996",Net 30,15,A
PO0049,PROD004,SUPP001,4/22/25,5/11/25,5/9/25,217,213,147,"31,899",Net 30,19,C
PO0050,PROD005,SUPP002,5/18/25,5/28/25,5/27/25,110,105,192,"21,120",Net 60,10,C
PO0051,PROD003,SUPP001,5/3/25,5/13/25,5/13/25,32,28,41,"1,312",Net 60,10,B
PO0052,PROD005,SUPP002,4/30/25,5/18/25,5/21/25,149,146,178,"26,522",Net 30,18,A
PO0053,PROD001,SUPP003,5/19/25,6/4/25,6/7/25,205,201,80,"16,400",Net 45,16,C
PO0054,PROD004,SUPP001,5/19/25,6/6/25,6/8/25,438,433,134,"58,692",Net 60,18,B
PO0055,PROD004,SUPP001,5/8/25,5/28/25,5/27/25,430,428,136,"58,480",Net 45,20,B
PO0056,PROD001,SUPP001,5/24/25,6/5/25,6/7/25,250,246,114,"28,500",Net 45,12,C
PO0057,PROD001,SUPP004,4/17/25,5/3/25,5/6/25,152,148,66,"10,032",Net 30,16,A
PO0058,PROD005,SUPP003,5/3/25,5/13/25,5/11/25,403,400,177,"71,331",Net 30,10,B
PO0059,PROD005,SUPP004,5/13/25,6/2/25,6/3/25,187,187,129,"24,123",Net 60,20,C
PO0060,PROD005,SUPP003,5/23/25,6/12/25,6/12/25,142,140,178,"25,276",Net 45,20,C
PO0061,PROD002,SUPP004,5/2/25,5/16/25,5/17/25,164,159,198,"32,472",Net 30,14,B
PO0062,PROD005,SUPP004,5/4/25,5/22/25,5/20/25,54,49,101,"5,454",Net 45,18,C
PO0063,PROD005,SUPP004,5/26/25,6/6/25,6/5/25,261,257,194,"50,634",Net 60,11,A
PO0064,PROD005,SUPP003,5/8/25,5/21/25,5/22/25,271,268,126,"34,146",Net 60,13,A
PO0065,PROD003,SUPP001,4/24/25,5/9/25,5/12/25,460,458,160,"73,600",Net 60,15,C
PO0066,PROD004,SUPP003,5/10/25,5/25/25,5/25/25,320,315,59,"18,880",Net 60,15,B
PO0067,PROD003,SUPP003,5/29/25,6/17/25,6/18/25,288,285,88,"25,344",Net 30,19,C
PO0068,PROD003,SUPP002,4/6/25,4/23/25,4/21/25,307,303,189,"58,023",Net 30,17,C
PO0069,PROD001,SUPP002,5/17/25,5/28/25,5/26/25,389,387,197,"76,633",Net 60,11,C
PO0070,PROD003,SUPP003,5/29/25,6/11/25,6/10/25,211,207,132,"27,852",Net 45,13,C
PO0071,PROD003,SUPP001,5/4/25,5/15/25,5/15/25,225,224,112,"25,200",Net 30,11,A
PO0072,PROD003,SUPP004,5/21/25,6/5/25,6/6/25,118,113,123,"14,514",Net 30,15,B
PO0073,PROD001,SUPP004,5/16/25,5/28/25,5/26/25,489,487,121,"59,169",Net 60,12,C
PO0074,PROD005,SUPP004,4/12/25,5/1/25,5/4/25,185,182,57,"10,545",Net 30,19,A
PO0075,PROD004,SUPP004,4/24/25,5/6/25,5/8/25,437,436,197,"86,089",Net 60,12,A
PO0076,PROD005,SUPP003,4/20/25,5/8/25,5/6/25,51,47,173,"8,823",Net 30,18,C
PO0077,PROD004,SUPP002,4/12/25,4/26/25,4/27/25,263,258,181,"47,603",Net 30,14,A
PO0078,PROD002,SUPP003,5/20/25,6/2/25,6/4/25,450,446,135,"60,750",Net 45,13,A
PO0079,PROD001,SUPP001,5/16/25,6/3/25,6/3/25,355,353,171,"60,705",Net 60,18,A
PO0080,PROD005,SUPP002,4/10/25,4/29/25,5/1/25,245,244,181,"44,345",Net 30,19,A
PO0081,PROD005,SUPP003,4/22/25,5/3/25,5/1/25,59,54,134,"7,906",Net 45,11,C
PO0082,PROD001,SUPP003,5/3/25,5/16/25,5/19/25,463,461,148,"68,524",Net 60,13,A
PO0083,PROD001,SUPP001,4/3/25,4/16/25,4/17/25,164,160,194,"31,816",Net 45,13,B
PO0084,PROD001,SUPP003,5/26/25,6/11/25,6/11/25,48,45,136,"6,528",Net 45,16,A
PO0085,PROD002,SUPP002,4/26/25,5/7/25,5/8/25,177,173,191,"33,807",Net 45,11,C
PO0086,PROD005,SUPP002,5/20/25,6/4/25,6/4/25,488,485,159,"77,592",Net 45,15,C
PO0087,PROD002,SUPP002,5/27/25,6/7/25,6/7/25,313,313,125,"39,125",Net 30,11,C
PO0088,PROD002,SUPP001,4/25/25,5/14/25,5/13/25,166,166,130,"21,580",Net 60,19,B
PO0089,PROD003,SUPP001,5/6/25,5/20/25,5/20/25,382,378,60,"22,920",Net 30,14,C
PO0090,PROD001,SUPP004,5/29/25,6/10/25,6/8/25,314,309,132,"41,448",Net 30,12,B
PO0091,PROD003,SUPP004,5/14/25,5/25/25,5/23/25,53,48,47,"2,491",Net 30,11,A
PO0092,PROD002,SUPP001,5/4/25,5/16/25,5/14/25,253,251,93,"23,529",Net 45,12,C
PO0093,PROD001,SUPP003,5/13/25,6/1/25,6/3/25,42,41,119,"4,998",Net 60,19,C
PO0094,PROD005,SUPP001,5/12/25,5/26/25,5/26/25,101,99,198,"19,998",Net 45,14,B
PO0095,PROD002,SUPP003,4/28/25,5/14/25,5/17/25,427,423,61,"26,047",Net 30,16,A
PO0096,PROD003,SUPP001,4/19/25,4/29/25,5/1/25,249,249,108,"26,892",Net 45,10,C
PO0097,PROD004,SUPP003,5/9/25,5/22/25,5/21/25,411,407,145,"59,595",Net 60,13,C
PO0098,PROD002,SUPP004,4/9/25,4/28/25,4/28/25,326,321,157,"51,182",Net 60,19,C
PO0099,PROD003,SUPP001,4/13/25,4/28/25,4/29/25,465,461,92,"42,780",Net 60,15,C
PO0100,PROD001,SUPP001,5/19/25,5/30/25,6/2/25,397,394,65,"25,805",Net 30,11,A
PO0101,PROD001,SUPP001,5/3/25,5/20/25,5/18/25,172,168,104,"17,888",Net 45,17,A
PO0102,PROD005,SUPP001,5/4/25,5/14/25,5/16/25,33,33,80,"2,640",Net 45,10,B
PO0103,PROD004,SUPP003,5/2/25,5/19/25,5/22/25,442,441,83,"36,686",Net 30,17,B
PO0104,PROD002,SUPP003,4/6/25,4/19/25,4/18/25,396,396,43,"17,028",Net 45,13,C
PO0105,PROD001,SUPP001,4/28/25,5/10/25,5/10/25,234,231,92,"21,528",Net 30,12,A
PO0106,PROD002,SUPP004,4/10/25,4/27/25,4/27/25,335,333,129,"43,215",Net 60,17,A
PO0107,PROD005,SUPP003,4/5/25,4/23/25,4/25/25,202,198,196,"39,592",Net 60,18,C
PO0108,PROD001,SUPP002,5/19/25,6/8/25,6/10/25,421,418,58,"24,418",Net 60,20,B
PO0109,PROD001,SUPP002,5/3/25,5/17/25,5/20/25,385,383,181,"69,685",Net 60,14,C
PO0110,PROD003,SUPP001,4/1/25,4/19/25,4/20/25,444,439,197,"87,468",Net 45,18,A
PO0111,PROD002,SUPP001,4/2/25,4/20/25,4/18/25,277,272,41,"11,357",Net 60,18,C
PO0112,PROD004,SUPP002,5/23/25,6/9/25,6/7/25,30,28,69,"2,070",Net 30,17,B
PO0113,PROD003,SUPP001,5/21/25,6/9/25,6/12/25,382,379,53,"20,246",Net 60,19,A
PO0114,PROD005,SUPP001,4/27/25,5/13/25,5/12/25,442,439,110,"48,620",Net 45,16,A
PO0115,PROD002,SUPP003,4/16/25,4/26/25,4/29/25,35,30,88,"3,080",Net 60,10,B
PO0116,PROD001,SUPP004,5/6/25,5/26/25,5/26/25,404,401,100,"40,400",Net 60,20,B
PO0117,PROD004,SUPP001,4/27/25,5/13/25,5/11/25,341,338,107,"36,487",Net 30,16,B
PO0118,PROD002,SUPP002,5/7/25,5/23/25,5/24/25,151,150,174,"26,274",Net 45,16,C
PO0119,PROD001,SUPP003,5/9/25,5/27/25,5/25/25,410,408,57,"23,370",Net 45,18,A
PO0120,PROD005,SUPP001,4/19/25,5/7/25,5/9/25,163,163,102,"16,626",Net 45,18,C
PO0121,PROD003,SUPP004,5/7/25,5/22/25,5/20/25,150,147,170,"25,500",Net 30,15,B
PO0122,PROD005,SUPP001,5/20/25,6/5/25,6/5/25,254,254,123,"31,242",Net 30,16,C
PO0123,PROD003,SUPP004,4/18/25,5/7/25,5/8/25,94,94,105,"9,870",Net 30,19,B
PO0124,PROD001,SUPP003,5/6/25,5/20/25,5/21/25,68,64,116,"7,888",Net 60,14,C
PO0125,PROD001,SUPP003,5/24/25,6/7/25,6/9/25,470,466,52,"24,440",Net 45,14,B
PO0126,PROD005,SUPP002,5/24/25,6/11/25,6/10/25,87,85,112,"9,744",Net 60,18,C
PO0127,PROD002,SUPP003,4/23/25,5/3/25,5/1/25,287,284,111,"31,857",Net 45,10,A
PO0128,PROD004,SUPP002,5/19/25,6/1/25,5/31/25,193,190,155,"29,915",Net 60,13,B
PO0129,PROD002,SUPP002,5/25/25,6/9/25,6/7/25,210,210,46,"9,660",Net 45,15,C
PO0130,PROD003,SUPP003,4/9/25,4/26/25,4/29/25,81,76,82,"6,642",Net 30,17,C
PO0131,PROD003,SUPP003,5/14/25,5/27/25,5/25/25,295,290,100,"29,500",Net 45,13,B
PO0132,PROD002,SUPP003,5/27/25,6/13/25,6/14/25,339,339,108,"36,612",Net 60,17,A
PO0133,PROD004,SUPP002,4/15/25,5/1/25,4/29/25,260,259,48,"12,480",Net 30,16,A
PO0134,PROD005,SUPP003,5/6/25,5/17/25,5/19/25,87,87,65,"5,655",Net 30,11,A
PO0135,PROD004,SUPP002,5/13/25,5/23/25,5/25/25,477,477,46,"21,942",Net 30,10,A
PO0136,PROD003,SUPP001,5/17/25,5/28/25,5/26/25,151,150,155,"23,405",Net 60,11,A
PO0137,PROD001,SUPP001,5/4/25,5/14/25,5/12/25,61,56,115,"7,015",Net 45,10,A
PO0138,PROD003,SUPP001,4/26/25,5/16/25,5/15/25,410,409,76,"31,160",Net 30,20,B
PO0139,PROD005,SUPP001,5/14/25,6/2/25,6/4/25,291,287,55,"16,005",Net 45,19,A
PO0140,PROD003,SUPP002,5/22/25,6/5/25,6/5/25,410,407,146,"59,860",Net 60,14,C
PO0141,PROD001,SUPP002,5/28/25,6/8/25,6/10/25,426,426,120,"51,120",Net 60,11,C
PO0142,PROD005,SUPP001,4/22/25,5/3/25,5/5/25,212,212,168,"35,616",Net 45,11,B
PO0143,PROD005,SUPP001,5/30/25,6/19/25,6/19/25,325,320,166,"53,950",Net 60,20,B
PO0144,PROD001,SUPP004,5/8/25,5/18/25,5/21/25,244,243,95,"23,180",Net 60,10,C
PO0145,PROD003,SUPP001,5/22/25,6/8/25,6/8/25,227,227,49,"11,123",Net 45,17,A
PO0146,PROD005,SUPP001,4/4/25,4/20/25,4/21/25,107,104,169,"18,083",Net 60,16,B
PO0147,PROD005,SUPP003,4/14/25,4/25/25,4/23/25,414,413,98,"40,572",Net 30,11,A
PO0148,PROD004,SUPP002,5/16/25,5/29/25,5/30/25,287,282,173,"49,651",Net 60,13,B
PO0149,PROD003,SUPP002,5/27/25,6/9/25,6/10/25,383,378,137,"52,471",Net 45,13,C
PO0150,PROD004,SUPP003,4/15/25,4/25/25,4/25/25,142,141,41,"5,822",Net 30,10,B
PO0151,PROD001,SUPP003,4/2/25,4/19/25,4/20/25,412,412,60,"24,720",Net 45,17,C
PO0152,PROD005,SUPP001,5/5/25,5/20/25,5/23/25,248,244,134,"33,232",Net 30,15,A
PO0153,PROD003,SUPP003,5/8/25,5/22/25,5/23/25,440,439,172,"75,680",Net 30,14,C
PO0154,PROD003,SUPP004,4/16/25,5/2/25,5/3/25,345,340,118,"40,710",Net 30,16,A
PO0155,PROD002,SUPP001,5/8/25,5/18/25,5/20/25,27,26,166,"4,482",Net 60,10,C
PO0156,PROD005,SUPP003,4/7/25,4/22/25,4/24/25,125,121,87,"10,875",Net 60,15,A
PO0157,PROD005,SUPP003,4/27/25,5/14/25,5/15/25,494,493,187,"92,378",Net 60,17,B
PO0158,PROD004,SUPP004,4/9/25,4/19/25,4/18/25,184,182,111,"20,424",Net 45,10,B
PO0159,PROD004,SUPP001,5/1/25,5/11/25,5/10/25,158,157,196,"30,968",Net 60,10,B
PO0160,PROD002,SUPP001,4/30/25,5/18/25,5/17/25,39,35,159,"6,201",Net 30,18,C
PO0161,PROD005,SUPP001,4/3/25,4/17/25,4/16/25,196,196,63,"12,348",Net 60,14,C
PO0162,PROD001,SUPP001,4/26/25,5/15/25,5/13/25,381,379,77,"29,337",Net 30,19,C
PO0163,PROD001,SUPP002,4/16/25,5/6/25,5/6/25,434,429,103,"44,702",Net 30,20,B
PO0164,PROD003,SUPP001,4/28/25,5/10/25,5/13/25,275,271,164,"45,100",Net 60,12,C
PO0165,PROD005,SUPP003,4/18/25,5/2/25,5/4/25,244,241,81,"19,764",Net 45,14,C
PO0166,PROD001,SUPP004,5/18/25,5/29/25,5/31/25,372,372,142,"52,824",Net 60,11,C
PO0167,PROD005,SUPP002,4/11/25,4/25/25,4/28/25,259,254,96,"24,864",Net 60,14,C
PO0168,PROD004,SUPP002,5/23/25,6/12/25,6/14/25,74,71,137,"10,138",Net 45,20,B
PO0169,PROD002,SUPP002,4/28/25,5/8/25,5/9/25,446,446,85,"37,910",Net 60,10,C
PO0170,PROD005,SUPP003,5/23/25,6/4/25,6/2/25,462,458,99,"45,738",Net 60,12,B
PO0171,PROD005,SUPP003,5/17/25,5/27/25,5/29/25,444,444,43,"19,092",Net 60,10,A
PO0172,PROD005,SUPP002,4/26/25,5/15/25,5/13/25,270,270,192,"51,840",Net 30,19,C
PO0173,PROD002,SUPP001,5/7/25,5/20/25,5/23/25,259,256,103,"26,677",Net 60,13,C
PO0174,PROD002,SUPP004,5/15/25,6/3/25,6/4/25,442,441,151,"66,742",Net 30,19,C
PO0175,PROD001,SUPP001,5/15/25,5/28/25,5/28/25,200,195,94,"18,800",Net 30,13,B
PO0176,PROD005,SUPP004,4/23/25,5/8/25,5/6/25,496,496,124,"61,504",Net 45,15,C
PO0177,PROD003,SUPP002,5/27/25,6/11/25,6/11/25,243,239,124,"30,132",Net 30,15,C
PO0178,PROD005,SUPP004,5/8/25,5/24/25,5/26/25,439,438,122,"53,558",Net 45,16,B
PO0179,PROD001,SUPP001,4/16/25,5/5/25,5/5/25,296,291,40,"11,840",Net 45,19,C
PO0180,PROD004,SUPP003,5/30/25,6/10/25,6/13/25,434,433,121,"52,514",Net 45,11,A
PO0181,PROD005,SUPP004,4/6/25,4/26/25,4/24/25,271,268,66,"17,886",Net 45,20,C
PO0182,PROD001,SUPP003,4/27/25,5/12/25,5/10/25,114,114,78,"8,892",Net 60,15,B
PO0183,PROD005,SUPP004,5/1/25,5/18/25,5/16/25,82,78,180,"14,760",Net 45,17,C
PO0184,PROD002,SUPP001,5/11/25,5/24/25,5/22/25,311,307,137,"42,607",Net 60,13,C
PO0185,PROD001,SUPP004,4/22/25,5/9/25,5/11/25,158,156,51,"8,058",Net 45,17,A
PO0186,PROD002,SUPP001,4/26/25,5/14/25,5/12/25,273,270,194,"52,962",Net 30,18,A
PO0187,PROD002,SUPP003,4/11/25,4/22/25,4/25/25,134,133,68,"9,112",Net 45,11,A
PO0188,PROD005,SUPP003,4/8/25,4/18/25,4/20/25,210,205,117,"24,570",Net 45,10,C
PO0189,PROD005,SUPP003,4/1/25,4/14/25,4/12/25,156,154,127,"19,812",Net 30,13,A
PO0190,PROD005,SUPP002,4/30/25,5/20/25,5/21/25,135,131,127,"17,145",Net 45,20,C
PO0191,PROD001,SUPP001,4/9/25,4/21/25,4/20/25,482,479,149,"71,818",Net 60,12,B
PO0192,PROD002,SUPP001,4/17/25,5/1/25,5/4/25,299,296,189,"56,511",Net 45,14,C
PO0193,PROD005,SUPP001,4/2/25,4/22/25,4/22/25,70,70,93,"6,510",Net 30,20,C
PO0194,PROD004,SUPP001,5/29/25,6/8/25,6/10/25,22,20,61,"1,342",Net 45,10,B
PO0195,PROD005,SUPP001,4/16/25,4/26/25,4/27/25,278,276,93,"25,854",Net 45,10,C
PO0196,PROD002,SUPP004,5/27/25,6/12/25,6/15/25,257,257,79,"20,303",Net 30,16,C
PO0197,PROD003,SUPP003,5/29/25,6/9/25,6/11/25,85,80,54,"4,590",Net 60,11,A
PO0198,PROD002,SUPP004,4/14/25,4/28/25,5/1/25,88,84,71,"6,248",Net 45,14,A
PO0199,PROD002,SUPP004,5/2/25,5/18/25,5/19/25,125,125,145,"18,125",Net 60,16,B
PO0200,PROD004,SUPP003,4/9/25,4/26/25,4/25/25,150,149,76,"11,400",Net 60,17,C
PO0201,PROD003,SUPP001,4/30/25,5/10/25,5/12/25,352,352,139,"48,928",Net 30,10,B
PO0202,PROD004,SUPP001,5/23/25,6/3/25,6/6/25,225,225,72,"16,200",Net 60,11,C
PO0203,PROD004,SUPP002,5/5/25,5/24/25,5/26/25,500,495,116,"58,000",Net 30,19,A
PO0204,PROD005,SUPP003,5/25/25,6/7/25,6/9/25,457,455,116,"53,012",Net 30,13,A
PO0205,PROD002,SUPP004,4/29/25,5/13/25,5/12/25,280,279,76,"21,280",Net 45,14,B
PO0206,PROD004,SUPP004,5/1/25,5/11/25,5/14/25,290,286,150,"43,500",Net 30,10,B
PO0207,PROD005,SUPP003,4/17/25,5/3/25,5/4/25,249,245,91,"22,659",Net 30,16,C
PO0208,PROD002,SUPP002,5/10/25,5/25/25,5/28/25,440,438,95,"41,800",Net 45,15,B
PO0209,PROD002,SUPP001,4/3/25,4/17/25,4/19/25,427,423,190,"81,130",Net 45,14,A
PO0210,PROD004,SUPP002,5/28/25,6/11/25,6/9/25,171,171,96,"16,416",Net 30,14,A
PO0211,PROD001,SUPP004,4/5/25,4/15/25,4/14/25,119,114,91,"10,829",Net 45,10,B
PO0212,PROD001,SUPP002,5/27/25,6/7/25,6/5/25,25,22,167,"4,175",Net 30,11,B
PO0213,PROD005,SUPP001,5/30/25,6/18/25,6/16/25,29,27,191,"5,539",Net 45,19,A
PO0214,PROD001,SUPP004,5/21/25,6/8/25,6/10/25,297,293,91,"27,027",Net 60,18,C
PO0215,PROD004,SUPP004,5/5/25,5/17/25,5/19/25,498,495,122,"60,756",Net 30,12,A
PO0216,PROD005,SUPP001,5/25/25,6/10/25,6/11/25,269,266,152,"40,888",Net 45,16,C
PO0217,PROD005,SUPP002,5/10/25,5/23/25,5/21/25,238,236,44,"10,472",Net 60,13,A
PO0218,PROD001,SUPP004,5/28/25,6/14/25,6/13/25,414,409,167,"69,138",Net 60,17,C
PO0219,PROD003,SUPP002,5/18/25,6/2/25,6/1/25,381,378,66,"25,146",Net 30,15,A
PO0220,PROD003,SUPP001,5/11/25,5/21/25,5/24/25,251,247,90,"22,590",Net 30,10,A
PO0221,PROD003,SUPP003,4/3/25,4/16/25,4/15/25,404,399,45,"18,180",Net 45,13,C
PO0222,PROD001,SUPP001,5/19/25,6/4/25,6/2/25,55,54,173,"9,515",Net 30,16,C
PO0223,PROD005,SUPP003,4/16/25,5/1/25,5/2/25,22,20,184,"4,048",Net 60,15,A
PO0224,PROD003,SUPP002,5/7/25,5/25/25,5/24/25,322,322,118,"37,996",Net 60,18,B
PO0225,PROD001,SUPP004,4/28/25,5/10/25,5/13/25,498,497,66,"32,868",Net 30,12,B
PO0226,PROD002,SUPP002,5/18/25,5/29/25,5/27/25,221,218,134,"29,614",Net 30,11,C
PO0227,PROD004,SUPP001,5/31/25,6/12/25,6/15/25,155,150,166,"25,730",Net 60,12,C
PO0228,PROD002,SUPP003,4/12/25,4/29/25,5/1/25,112,110,82,"9,184",Net 45,17,A
PO0229,PROD003,SUPP004,5/6/25,5/18/25,5/19/25,243,240,160,"38,880",Net 45,12,C
PO0230,PROD001,SUPP001,5/12/25,6/1/25,6/1/25,494,492,99,"48,906",Net 45,20,A
PO0231,PROD003,SUPP004,4/28/25,5/10/25,5/8/25,498,498,86,"42,828",Net 60,12,C
PO0232,PROD004,SUPP001,4/16/25,4/26/25,4/27/25,137,135,105,"14,385",Net 30,10,C
PO0233,PROD001,SUPP004,4/20/25,5/5/25,5/8/25,493,489,124,"61,132",Net 45,15,B
PO0234,PROD004,SUPP002,4/17/25,4/29/25,5/2/25,238,233,102,"24,276",Net 45,12,C
PO0235,PROD003,SUPP004,5/22/25,6/6/25,6/6/25,93,93,75,"6,975",Net 60,15,B
PO0236,PROD005,SUPP002,4/9/25,4/27/25,4/27/25,221,220,93,"20,553",Net 45,18,A
PO0237,PROD004,SUPP002,5/25/25,6/6/25,6/6/25,36,35,68,"2,448",Net 60,12,B
PO0238,PROD004,SUPP004,4/27/25,5/9/25,5/11/25,327,324,142,"46,434",Net 60,12,A
PO0239,PROD005,SUPP002,5/9/25,5/21/25,5/19/25,49,49,90,"4,410",Net 30,12,C
PO0240,PROD004,SUPP001,5/21/25,6/3/25,6/1/25,329,325,93,"30,597",Net 30,13,A
PO0241,PROD003,SUPP003,4/17/25,5/6/25,5/6/25,274,272,121,"33,154",Net 30,19,C
PO0242,PROD003,SUPP003,4/8/25,4/20/25,4/20/25,473,472,59,"27,907",Net 30,12,B
PO0243,PROD002,SUPP003,4/18/25,5/2/25,4/30/25,492,488,115,"56,580",Net 30,14,C
PO0244,PROD003,SUPP002,5/16/25,6/4/25,6/4/25,126,123,111,"13,986",Net 60,19,A
PO0245,PROD002,SUPP003,5/18/25,6/1/25,6/1/25,392,389,87,"34,104",Net 30,14,B
PO0246,PROD004,SUPP004,4/17/25,5/3/25,5/4/25,49,45,107,"5,243",Net 60,16,A
PO0247,PROD004,SUPP002,4/13/25,4/23/25,4/21/25,362,359,114,"41,268",Net 45,10,A
PO0248,PROD001,SUPP004,4/16/25,4/29/25,4/30/25,258,254,134,"34,572",Net 30,13,B
PO0249,PROD001,SUPP004,4/12/25,4/24/25,4/26/25,356,353,92,"32,752",Net 30,12,C
PO0250,PROD001,SUPP002,5/31/25,6/19/25,6/19/25,118,116,45,"5,310",Net 45,19,C
PO0251,PROD003,SUPP001,5/25/25,6/4/25,6/4/25,233,231,138,"32,154",Net 45,10,A
PO0252,PROD002,SUPP002,5/23/25,6/12/25,6/13/25,389,385,177,"68,853",Net 30,20,C
PO0253,PROD001,SUPP001,5/4/25,5/18/25,5/17/25,471,471,140,"65,940",Net 60,14,C
PO0254,PROD001,SUPP001,5/7/25,5/17/25,5/17/25,279,279,134,"37,386",Net 45,10,C
