Claim ID,Reserve Date,Initial Reserve Amount,Current Reserve Amount,Reserve Type
CLM146,1/24/24,39840,36280,Indemnity Reserve
CLM147,8/8/23,44838,39156,Indemnity Reserve
CLM148,1/3/23,34118,24652,Indemnity Reserve
CLM149,5/20/23,29230,6226,Indemnity Reserve
CLM150,9/2/23,35254,24834,Indemnity Reserve
CLM151,11/15/23,38761,20158,Indemnity Reserve
CLM152,12/1/23,23760,4890,Indemnity Reserve
CLM153,5/13/23,29712,13308,Indemnity Reserve
CLM154,1/27/24,47490,8113,Indemnity Reserve
CLM155,7/3/23,36399,25507,Indemnity Reserve
CLM156,4/20/23,30931,3805,Indemnity Reserve
CLM157,5/22/23,48768,27558,Indemnity Reserve
CLM158,2/19/23,43762,29877,Indemnity Reserve
CLM159,1/30/23,3584,2264,Indemnity Reserve
CLM160,7/23/23,33860,32932,Indemnity Reserve
CLM161,12/13/23,34771,6534,Indemnity Reserve
CLM162,3/3/23,23080,11079,Indemnity Reserve
CLM163,1/31/23,38343,29486,Indemnity Reserve
CLM164,8/7/23,27612,19726,Indemnity Reserve
CLM165,1/26/23,9340,178,Indemnity Reserve
CLM166,4/28/23,4122,1337,Indemnity Reserve
CLM167,2/28/23,25192,14021,Indemnity Reserve
CLM168,5/16/23,21350,9176,Indemnity Reserve
CLM169,5/9/24,36699,12034,Indemnity Reserve
CLM170,4/26/24,49919,27660,Indemnity Reserve
CLM171,3/24/24,49900,7156,Indemnity Reserve
CLM172,1/26/23,3210,2502,Indemnity Reserve
CLM173,4/20/23,18472,9395,Indemnity Reserve
CLM174,3/4/23,42123,22034,Indemnity Reserve
CLM175,1/7/23,15010,14856,Indemnity Reserve
CLM176,3/3/24,9381,7073,Indemnity Reserve
CLM177,2/3/23,16432,14438,Indemnity Reserve
CLM178,12/7/23,20830,1084,Indemnity Reserve
CLM179,3/31/24,23800,11217,Indemnity Reserve
CLM180,5/4/24,21211,5821,Indemnity Reserve
CLM181,4/4/24,29341,19371,Indemnity Reserve
CLM182,6/23/23,22513,14716,Indemnity Reserve
CLM183,10/13/23,20706,7183,Indemnity Reserve
CLM184,5/10/24,4671,3103,Indemnity Reserve
CLM185,1/3/23,14049,8793,Indemnity Reserve
CLM186,12/3/23,25499,20067,Indemnity Reserve
CLM187,3/2/23,17895,11758,Indemnity Reserve
CLM188,6/25/24,35517,25315,Indemnity Reserve
CLM189,11/19/23,10266,8790,Indemnity Reserve
CLM190,4/8/23,28857,9839,Indemnity Reserve
CLM191,4/18/24,34382,9094,Indemnity Reserve
CLM192,3/7/24,43869,36693,Indemnity Reserve
CLM193,5/8/23,37357,16425,Indemnity Reserve
CLM194,3/28/23,12944,2027,Indemnity Reserve
CLM195,7/6/23,45350,24200,Indemnity Reserve
CLM196,6/1/23,44039,25210,Indemnity Reserve
CLM197,9/23/23,34036,1645,Indemnity Reserve
CLM198,3/24/24,31203,27815,Indemnity Reserve
CLM199,12/22/23,7543,6911,Indemnity Reserve
CLM200,3/27/24,4501,4029,Indemnity Reserve
CLM201,6/24/24,32888,20592,Indemnity Reserve
CLM202,11/14/23,28864,3861,Indemnity Reserve
CLM203,10/7/23,47511,34778,Indemnity Reserve
CLM204,6/8/24,19944,18981,Indemnity Reserve
CLM205,3/26/24,37464,25380,Indemnity Reserve
CLM206,5/11/23,19450,10022,Indemnity Reserve
CLM207,2/13/24,3220,1763,Indemnity Reserve
CLM208,6/25/23,9512,2263,Indemnity Reserve
CLM209,5/22/23,13904,526,Indemnity Reserve
CLM210,1/24/24,49768,16844,Indemnity Reserve
CLM211,12/28/23,9336,6799,Indemnity Reserve
CLM212,1/31/24,41699,478,Indemnity Reserve
CLM213,5/6/23,49195,41316,Indemnity Reserve
CLM214,2/12/24,43070,37689,Indemnity Reserve
CLM215,3/5/24,18360,2078,Indemnity Reserve
CLM216,2/13/23,16792,2188,Indemnity Reserve
CLM217,3/27/23,41597,9518,Indemnity Reserve
CLM218,7/23/23,14430,7675,Indemnity Reserve
CLM219,12/28/23,33418,32929,Indemnity Reserve
CLM220,7/29/23,27614,9712,Indemnity Reserve
CLM221,2/7/24,43489,29894,Indemnity Reserve
CLM222,7/15/23,28334,27622,Indemnity Reserve
CLM223,8/13/23,23196,22315,Indemnity Reserve
CLM224,4/7/23,13060,4051,Indemnity Reserve
CLM225,1/11/24,30393,6274,Indemnity Reserve
CLM226,7/2/23,6904,710,Indemnity Reserve
CLM227,5/23/24,16945,8256,Indemnity Reserve
CLM228,10/15/23,21954,14656,Indemnity Reserve
CLM229,6/1/23,32322,14456,Indemnity Reserve
CLM230,2/23/24,48946,7170,Indemnity Reserve
CLM231,3/24/24,2116,1766,Indemnity Reserve
CLM232,9/20/23,29602,23494,Indemnity Reserve
CLM233,3/14/23,24631,10467,Indemnity Reserve
CLM234,7/22/23,48565,40076,Indemnity Reserve
CLM235,5/2/24,17877,7967,Indemnity Reserve
CLM236,12/20/23,33203,9180,Indemnity Reserve
CLM237,4/25/24,38521,5082,Indemnity Reserve
CLM238,9/15/23,5049,2217,Indemnity Reserve
CLM239,2/10/24,12713,6481,Indemnity Reserve
CLM240,1/15/23,21133,8030,Indemnity Reserve
CLM241,5/29/23,22206,8641,Indemnity Reserve
CLM242,5/2/24,28354,5985,Indemnity Reserve
CLM243,3/12/23,25414,16194,Indemnity Reserve
CLM244,5/30/23,37199,22026,Indemnity Reserve
CLM245,1/14/24,7170,4965,Indemnity Reserve
CLM246,4/5/24,30878,2804,Indemnity Reserve
CLM247,4/27/23,41380,23535,Indemnity Reserve
CLM248,4/5/24,41085,20831,Indemnity Reserve
CLM249,2/24/23,5116,1097,Indemnity Reserve
CLM250,10/31/23,13950,5303,Indemnity Reserve
CLM251,8/17/23,11811,10197,Indemnity Reserve
CLM252,12/21/23,39344,28772,Indemnity Reserve
CLM253,10/13/23,5634,3232,Indemnity Reserve
CLM254,5/13/23,15857,4155,Indemnity Reserve
CLM255,11/8/23,26284,2838,Indemnity Reserve
CLM256,5/8/24,39032,29121,Indemnity Reserve
CLM257,8/29/23,22933,16152,Indemnity Reserve
CLM258,9/23/23,36273,28833,Indemnity Reserve
CLM259,1/16/24,47543,19931,Indemnity Reserve
CLM260,11/26/23,11846,3025,Indemnity Reserve
CLM261,2/19/24,37075,21715,Indemnity Reserve
CLM262,8/1/23,38131,35456,Indemnity Reserve
CLM263,1/1/24,47185,7971,Indemnity Reserve
CLM264,7/5/23,16059,9683,Indemnity Reserve
CLM265,1/26/23,4254,3260,Indemnity Reserve
CLM266,5/23/23,26630,15027,Indemnity Reserve
CLM267,10/22/23,3907,2609,Indemnity Reserve
CLM268,5/21/24,9530,5861,Indemnity Reserve
CLM269,12/8/23,13640,11065,Indemnity Reserve
CLM270,3/13/23,2509,1567,Indemnity Reserve
CLM271,5/19/24,5893,3837,Indemnity Reserve
CLM272,3/23/24,6012,2263,Indemnity Reserve
CLM273,5/29/23,8038,4927,Indemnity Reserve
CLM274,2/9/24,16068,15623,Indemnity Reserve
CLM275,7/15/23,32307,4127,Indemnity Reserve
CLM276,2/6/24,1881,1588,Indemnity Reserve
CLM277,6/10/24,8526,3746,Indemnity Reserve
CLM278,7/9/23,7430,5819,Indemnity Reserve
CLM279,11/24/23,14457,3015,Indemnity Reserve
CLM280,3/30/24,14102,8917,Indemnity Reserve
CLM281,3/7/24,1577,376,Indemnity Reserve
CLM282,5/9/24,45474,31499,Indemnity Reserve
CLM283,2/3/24,19268,5791,Indemnity Reserve
CLM284,6/3/24,7946,259,Indemnity Reserve
CLM285,12/16/23,28996,18726,Indemnity Reserve
CLM286,8/17/23,30279,24238,Indemnity Reserve
CLM287,5/8/23,5626,2903,Indemnity Reserve
CLM288,6/30/23,15047,10989,Indemnity Reserve
CLM289,1/6/23,11106,3632,Indemnity Reserve
CLM290,11/16/23,44424,19957,Indemnity Reserve
CLM291,2/12/24,23964,23629,Indemnity Reserve
CLM292,9/8/23,31961,162,Indemnity Reserve
CLM293,1/21/24,8435,3582,Indemnity Reserve
CLM294,9/3/23,46347,11515,Indemnity Reserve
CLM295,2/6/23,17254,12245,Indemnity Reserve
CLM296,11/18/23,41305,7564,Indemnity Reserve
CLM297,1/8/24,6882,1255,Indemnity Reserve
CLM298,5/3/24,15640,8081,Indemnity Reserve
CLM299,6/12/24,22790,7155,Indemnity Reserve
CLM300,2/27/23,27462,8744,Indemnity Reserve
CLM301,4/24/24,36042,8448,Indemnity Reserve
CLM302,4/5/24,28588,15389,Indemnity Reserve
CLM303,5/28/23,41831,17660,Indemnity Reserve
CLM304,2/6/24,12841,3505,Indemnity Reserve
CLM305,2/16/24,17026,9183,Indemnity Reserve
CLM306,11/19/23,1677,1459,Indemnity Reserve
CLM307,12/15/23,14892,10409,Indemnity Reserve
CLM308,3/13/24,16916,9354,Indemnity Reserve
CLM309,2/26/23,6218,2077,Indemnity Reserve
CLM310,6/10/23,37794,32720,Indemnity Reserve
CLM311,6/28/23,10176,3573,Indemnity Reserve
CLM312,5/31/23,18388,13083,Indemnity Reserve
CLM313,1/9/23,3775,685,Indemnity Reserve
CLM314,4/14/24,24402,3898,Indemnity Reserve
CLM315,6/17/23,20411,7529,Indemnity Reserve
CLM316,8/17/23,40643,14,Indemnity Reserve
CLM317,10/6/23,15574,11221,Indemnity Reserve
CLM318,4/23/23,9219,9212,Indemnity Reserve
CLM319,3/12/23,44295,8310,Indemnity Reserve
CLM320,10/11/23,15826,5415,Indemnity Reserve
CLM321,2/5/24,10432,2130,Indemnity Reserve
CLM322,10/26/23,27583,6485,Indemnity Reserve
CLM323,5/16/23,26398,16313,Indemnity Reserve
CLM324,12/10/23,7008,148,Indemnity Reserve
CLM325,5/6/24,13284,9361,Indemnity Reserve
CLM326,1/7/23,43971,10798,Indemnity Reserve
CLM327,5/1/24,47209,29240,Indemnity Reserve
CLM328,1/22/23,30701,28058,Indemnity Reserve
CLM329,6/21/24,17068,8284,Indemnity Reserve
CLM330,2/10/24,32465,28996,Indemnity Reserve
CLM331,8/20/23,16749,281,Indemnity Reserve
CLM332,9/25/23,20302,12376,Indemnity Reserve
CLM333,1/24/23,28254,1496,Indemnity Reserve
CLM334,4/13/24,1672,293,Indemnity Reserve
CLM335,1/1/23,11662,7682,Indemnity Reserve
CLM336,4/8/23,29167,1408,Indemnity Reserve
CLM337,6/3/24,13370,5666,Indemnity Reserve
CLM338,7/27/23,16080,10094,Indemnity Reserve
CLM339,5/17/24,46972,17342,Indemnity Reserve
CLM340,6/3/24,31521,13643,Indemnity Reserve
CLM341,10/19/23,40917,6618,Indemnity Reserve
CLM342,10/3/23,32675,19634,Indemnity Reserve
CLM343,1/30/24,28256,9291,Indemnity Reserve
CLM344,9/15/23,26758,10254,Indemnity Reserve
CLM345,4/15/24,20722,11231,Indemnity Reserve
CLM346,1/5/24,46606,36740,Indemnity Reserve
CLM347,9/18/23,1088,1066,Indemnity Reserve
CLM348,8/16/23,32080,180,Indemnity Reserve
CLM349,5/30/24,33368,29667,Indemnity Reserve
CLM350,6/2/23,33756,7815,Indemnity Reserve
CLM351,2/26/24,34909,9881,Indemnity Reserve
CLM352,5/24/23,22391,1324,Indemnity Reserve
CLM353,6/26/23,1452,1011,Indemnity Reserve
CLM354,7/16/23,40734,17082,Indemnity Reserve
CLM355,11/29/23,47989,33822,Indemnity Reserve
CLM356,2/10/23,7438,240,Indemnity Reserve
CLM357,5/22/24,22869,17572,Indemnity Reserve
CLM358,6/30/23,15088,4881,Indemnity Reserve
CLM359,1/8/23,37247,1383,Indemnity Reserve
CLM360,5/14/23,32860,29958,Indemnity Reserve
CLM361,3/2/23,39039,10127,Indemnity Reserve
CLM362,3/3/23,6377,266,Indemnity Reserve
CLM363,2/19/23,40027,15824,Indemnity Reserve
CLM364,7/23/23,29759,5240,Indemnity Reserve
CLM365,2/9/23,6676,4507,Indemnity Reserve
CLM366,5/3/23,41519,35554,Indemnity Reserve
CLM367,8/2/23,17561,6830,Indemnity Reserve
CLM368,5/7/24,4680,2610,Indemnity Reserve
CLM369,2/20/24,26465,13842,Indemnity Reserve
CLM370,2/13/23,31977,14381,Indemnity Reserve
CLM371,1/3/24,27199,17703,Indemnity Reserve
CLM372,4/14/23,14302,9160,Indemnity Reserve
CLM373,2/24/24,7918,1356,Indemnity Reserve
CLM374,6/25/24,46275,40548,Indemnity Reserve
CLM375,12/11/23,16746,371,Indemnity Reserve
CLM376,11/17/23,43022,13517,Indemnity Reserve
CLM377,5/21/23,7123,1611,Indemnity Reserve
CLM378,4/10/23,43907,15055,Indemnity Reserve
CLM379,6/4/24,2725,2238,Indemnity Reserve
CLM380,6/17/24,12230,7075,Indemnity Reserve
CLM381,6/1/24,44335,24187,Indemnity Reserve
CLM382,9/30/23,34569,33403,Indemnity Reserve
CLM383,12/18/23,14827,14718,Indemnity Reserve
CLM384,10/29/23,42138,32439,Indemnity Reserve
CLM385,4/14/23,26919,13379,Indemnity Reserve
CLM386,11/14/23,29461,12811,Indemnity Reserve
CLM387,1/11/24,42284,35736,Indemnity Reserve
CLM388,10/12/23,48050,34964,Indemnity Reserve
CLM389,4/11/24,22272,22060,Indemnity Reserve
CLM390,1/19/24,36819,25861,Indemnity Reserve
CLM391,12/20/23,10996,4142,Indemnity Reserve
CLM392,4/28/24,8824,6481,Indemnity Reserve
CLM393,8/8/23,24044,21123,Indemnity Reserve
CLM394,1/13/24,44604,14441,Indemnity Reserve
CLM395,8/4/23,20222,7076,Indemnity Reserve
CLM396,3/13/24,16364,6164,Indemnity Reserve
CLM397,4/12/23,28180,18202,Indemnity Reserve
CLM398,5/24/24,20370,5492,Indemnity Reserve
CLM399,5/17/23,34561,23549,Indemnity Reserve
CLM400,3/4/24,27305,3513,Indemnity Reserve
CLM401,2/8/23,18870,12178,Indemnity Reserve
CLM402,9/8/23,43963,24834,Indemnity Reserve
CLM403,11/19/23,37467,901,Indemnity Reserve
CLM404,5/12/24,11405,6085,Indemnity Reserve
CLM405,1/31/24,23491,22221,Indemnity Reserve
CLM406,5/21/23,48068,31965,Indemnity Reserve
CLM407,5/3/24,8880,3963,Indemnity Reserve
CLM408,12/18/23,23589,6444,Indemnity Reserve
CLM409,3/8/24,12163,19,Indemnity Reserve
CLM410,9/7/23,26233,7483,Indemnity Reserve
CLM411,1/27/24,21672,4033,Indemnity Reserve
CLM412,3/10/23,10304,3627,Indemnity Reserve
CLM413,2/3/24,27597,4391,Indemnity Reserve
CLM414,4/30/23,26311,25760,Indemnity Reserve
CLM415,10/21/23,34744,25655,Indemnity Reserve
CLM416,3/4/24,41457,11609,Indemnity Reserve
CLM417,4/7/23,3055,1251,Indemnity Reserve
CLM418,4/28/24,10612,7408,Indemnity Reserve
CLM419,2/20/24,7711,3895,Indemnity Reserve
CLM420,11/21/23,19901,4742,Indemnity Reserve
CLM421,1/26/23,11034,3114,Indemnity Reserve
CLM422,3/7/23,33488,22850,Indemnity Reserve
CLM423,3/29/23,8220,8156,Indemnity Reserve
CLM424,4/25/23,27040,24923,Indemnity Reserve
CLM425,6/8/24,17087,2484,Indemnity Reserve
CLM426,9/6/23,49390,36035,Indemnity Reserve
CLM427,1/11/23,28823,12221,Indemnity Reserve
CLM428,8/11/23,31056,26102,Indemnity Reserve
CLM429,1/7/23,20862,6879,Indemnity Reserve
CLM430,3/31/24,41679,16576,Indemnity Reserve
CLM431,5/7/23,22046,15311,Indemnity Reserve
CLM432,1/22/23,40326,8278,Indemnity Reserve
CLM433,8/13/23,46170,39501,Indemnity Reserve
CLM434,12/20/23,9926,4587,Indemnity Reserve
CLM435,10/30/23,2495,1435,Indemnity Reserve
CLM436,5/2/24,16082,2294,Indemnity Reserve
CLM437,2/16/24,37456,24544,Indemnity Reserve
CLM438,3/22/24,49648,33961,Indemnity Reserve
CLM439,3/14/23,2692,2210,Indemnity Reserve
CLM440,6/13/23,19767,8823,Indemnity Reserve
CLM441,6/28/24,14490,6521,Indemnity Reserve
CLM442,1/26/23,13898,10462,Indemnity Reserve
CLM443,5/16/23,46503,22059,Indemnity Reserve
CLM444,5/5/24,30629,22519,Indemnity Reserve
CLM445,4/3/23,28918,2317,Indemnity Reserve
CLM446,9/22/23,28147,5861,Indemnity Reserve
CLM447,10/25/23,27622,10219,Indemnity Reserve
CLM448,3/21/23,33319,29796,Indemnity Reserve
CLM449,9/17/23,31151,14186,Indemnity Reserve
CLM450,4/27/23,9532,3638,Indemnity Reserve
CLM451,9/30/23,12603,6482,Indemnity Reserve
CLM452,4/16/23,32888,4153,Indemnity Reserve
CLM453,4/4/24,32909,18040,Indemnity Reserve
CLM454,3/21/24,8190,7624,Indemnity Reserve
CLM455,7/1/23,44287,1455,Indemnity Reserve
CLM456,4/6/23,39382,38748,Indemnity Reserve
CLM457,1/18/24,24748,3944,Indemnity Reserve
CLM458,5/4/23,13375,10989,Indemnity Reserve
CLM459,4/17/24,11092,4648,Indemnity Reserve
CLM460,10/11/23,4136,1659,Indemnity Reserve
CLM461,2/22/23,25051,5238,Indemnity Reserve
CLM462,1/6/24,37883,23465,Indemnity Reserve
CLM463,4/30/24,48637,9564,Indemnity Reserve
CLM464,5/16/24,23551,4486,Indemnity Reserve
CLM465,4/9/24,2144,22,Indemnity Reserve
CLM466,5/31/24,19157,1981,Indemnity Reserve
CLM467,11/30/23,22862,17328,Indemnity Reserve
CLM468,10/14/23,6668,199,Indemnity Reserve
CLM469,6/7/23,6000,5395,Indemnity Reserve
CLM470,4/20/23,47791,18639,Indemnity Reserve
CLM471,5/27/23,3271,902,Indemnity Reserve
CLM472,2/16/23,46879,40736,Indemnity Reserve
CLM473,2/3/24,8712,7411,Indemnity Reserve
CLM474,5/10/24,44275,33068,Indemnity Reserve
CLM475,1/20/24,36391,26068,Indemnity Reserve
CLM476,4/19/24,4366,3552,Indemnity Reserve
CLM477,4/8/24,46783,23438,Indemnity Reserve
CLM478,10/24/23,21007,6691,Indemnity Reserve
CLM479,6/15/24,44729,6755,Indemnity Reserve
CLM480,3/17/23,45007,17681,Indemnity Reserve
CLM481,6/10/24,28433,25738,Indemnity Reserve
CLM482,6/15/24,20642,4472,Indemnity Reserve
CLM483,1/16/23,35571,5137,Indemnity Reserve
CLM484,12/6/23,13949,7453,Indemnity Reserve
CLM485,12/28/23,9980,4076,Indemnity Reserve
CLM486,8/25/23,21706,1290,Indemnity Reserve
CLM487,2/22/24,30909,2855,Indemnity Reserve
CLM488,1/9/24,39635,30796,Indemnity Reserve
CLM489,3/8/23,18101,94,Indemnity Reserve
CLM490,1/30/24,43180,30796,Indemnity Reserve
CLM491,2/15/24,29804,6243,Indemnity Reserve
CLM492,12/8/23,44407,26631,Indemnity Reserve
CLM493,11/19/23,42451,37392,Indemnity Reserve
CLM494,8/4/23,27780,2487,Indemnity Reserve
CLM495,1/8/23,48796,48105,Indemnity Reserve
CLM496,2/20/24,32130,27766,Indemnity Reserve
CLM497,5/5/24,27911,2181,Indemnity Reserve
CLM498,6/2/24,38888,10368,Indemnity Reserve
CLM499,3/26/24,16590,738,Indemnity Reserve
CLM500,4/30/24,27518,12444,Indemnity Reserve
CLM501,1/26/23,3087,603,Indemnity Reserve
CLM502,6/12/23,47580,24627,Indemnity Reserve
CLM503,8/28/23,34592,4701,Indemnity Reserve
CLM504,5/19/23,49594,37780,Indemnity Reserve
CLM505,1/14/23,31837,26354,Indemnity Reserve
CLM506,4/17/23,27297,16542,Indemnity Reserve
CLM507,3/22/24,3503,2542,Indemnity Reserve
CLM508,4/2/23,47055,17609,Indemnity Reserve
CLM509,1/17/23,21147,7445,Indemnity Reserve
CLM510,12/18/23,26467,2587,Indemnity Reserve
CLM511,6/22/24,35960,3649,Indemnity Reserve
CLM512,1/29/24,49818,8461,Indemnity Reserve
CLM513,4/25/23,34268,3344,Indemnity Reserve
CLM514,7/16/23,15957,593,Indemnity Reserve
CLM515,12/25/23,29196,23045,Indemnity Reserve
CLM516,3/6/23,17166,4020,Indemnity Reserve
CLM517,5/3/24,4565,732,Indemnity Reserve
