Insured/Policyholder ID,Demographics,Location,Customer Segment,Years as Customer,Number of Policies Held,Previous Claims History
INS54357,"30, Female, Married","Savannah, GA, 31401",High Value,6,2,"3 prior claims, $20000 total paid"
INS54358,"28, Female, Single","Savannah, GA, 31401",Small Business,2,1,"2 prior claims, $15000 total paid"
INS54359,"40, Male, Married","Albany, GA, 31701",Standard,14,3,"2 prior claims, $15000 total paid"
INS54360,"55, Female, Single","Columbus, GA, 31901",Standard,18,3,"2 prior claims, $15000 total paid"
INS54361,"55, Female, Single","Macon, GA, 31201",Standard,2,3,"3 prior claims, $20000 total paid"
INS54362,"40, Male, Married","Augusta, GA, 30901",Standard,7,3,"2 prior claims, $15000 total paid"
INS54363,"35, Male, Single","Albany, GA, 31701",Standard,12,4,"3 prior claims, $20000 total paid"
INS54364,"28, Female, Single","Columbus, GA, 31901",Small Business,20,3,"1 prior claim, $5000 total paid"
INS54365,"35, Male, Single","Athens, GA, 30601",Small Business,6,3,"1 prior claim, $5000 total paid"
INS54366,"50, Female, Married","Albany, GA, 31701",Small Business,9,4,"3 prior claims, $20000 total paid"
INS54367,"35, Male, Single","Macon, GA, 31201",High Value,7,1,"1 prior claim, $5000 total paid"
INS54368,"60, Male, Single","Augusta, GA, 30901",Small Business,4,1,"1 prior claim, $2000 total paid"
INS54369,"55, Female, Single","Atlanta, GA, 30303",Commercial,15,1,0 prior claims
INS54370,"45, Male, Married","Augusta, GA, 30901",High Value,5,1,"2 prior claims, $15000 total paid"
INS54371,"60, Male, Single","Augusta, GA, 30901",Commercial,5,4,"2 prior claims, $15000 total paid"
INS54372,"35, Male, Single","Augusta, GA, 30901",Small Business,6,3,"1 prior claim, $2000 total paid"
INS54373,"30, Female, Married","Columbus, GA, 31901",Standard,8,4,0 prior claims
INS54374,"35, Male, Single","Roswell, GA, 30075",Small Business,10,4,"1 prior claim, $5000 total paid"
INS54375,"28, Female, Single","Columbus, GA, 31901",Standard,11,4,"2 prior claims, $15000 total paid"
INS54376,"40, Male, Married","Albany, GA, 31701",Standard,9,1,"1 prior claim, $2000 total paid"
INS54377,"50, Female, Married","Macon, GA, 31201",Commercial,4,4,"2 prior claims, $15000 total paid"
INS54378,"60, Male, Single","Augusta, GA, 30901",Small Business,2,3,"3 prior claims, $20000 total paid"
INS54379,"30, Female, Married","Macon, GA, 31201",Commercial,8,3,0 prior claims
INS54380,"30, Female, Married","Albany, GA, 31701",High Value,19,2,"1 prior claim, $2000 total paid"
INS54381,"50, Female, Married","Augusta, GA, 30901",High Value,14,1,"1 prior claim, $2000 total paid"
INS54382,"30, Female, Married","Columbus, GA, 31901",Small Business,20,4,"3 prior claims, $20000 total paid"
INS54383,"50, Female, Married","Atlanta, GA, 30303",Small Business,4,1,0 prior claims
INS54384,"40, Male, Married","Macon, GA, 31201",High Value,8,3,"3 prior claims, $20000 total paid"
INS54385,"35, Male, Single","Augusta, GA, 30901",Commercial,13,3,"1 prior claim, $5000 total paid"
INS54386,"30, Female, Married","Athens, GA, 30601",Standard,6,3,"1 prior claim, $2000 total paid"
INS54387,"45, Male, Married","Atlanta, GA, 30303",Commercial,7,4,"3 prior claims, $20000 total paid"
INS54388,"55, Female, Single","Macon, GA, 31201",Standard,9,1,"1 prior claim, $2000 total paid"
INS54389,"28, Female, Single","Albany, GA, 31701",Standard,17,4,"2 prior claims, $15000 total paid"
INS54390,"30, Female, Married","Columbus, GA, 31901",Standard,18,2,"2 prior claims, $15000 total paid"
INS54391,"28, Female, Single","Columbus, GA, 31901",High Value,8,4,0 prior claims
INS54392,"28, Female, Single","Roswell, GA, 30075",Commercial,13,4,"2 prior claims, $15000 total paid"
INS54393,"35, Male, Single","Augusta, GA, 30901",High Value,7,1,"3 prior claims, $20000 total paid"
INS54394,"28, Female, Single","Athens, GA, 30601",High Value,5,3,"1 prior claim, $2000 total paid"
INS54395,"40, Male, Married","Atlanta, GA, 30303",Commercial,6,3,"1 prior claim, $5000 total paid"
INS54396,"35, Male, Single","Augusta, GA, 30901",Small Business,10,2,"2 prior claims, $15000 total paid"
INS54397,"45, Male, Married","Augusta, GA, 30901",High Value,18,3,"1 prior claim, $2000 total paid"
INS54398,"35, Male, Single","Savannah, GA, 31401",Small Business,7,3,"1 prior claim, $5000 total paid"
INS54399,"40, Male, Married","Augusta, GA, 30901",Small Business,19,2,"3 prior claims, $20000 total paid"
INS54400,"45, Male, Married","Macon, GA, 31201",Standard,20,4,"2 prior claims, $15000 total paid"
INS54401,"45, Male, Married","Albany, GA, 31701",Small Business,14,2,"1 prior claim, $5000 total paid"
INS54402,"30, Female, Married","Atlanta, GA, 30303",High Value,5,2,"1 prior claim, $5000 total paid"
INS54403,"60, Male, Single","Savannah, GA, 31401",Standard,19,1,"1 prior claim, $5000 total paid"
INS54404,"45, Male, Married","Roswell, GA, 30075",High Value,19,3,"1 prior claim, $5000 total paid"
INS54405,"35, Male, Single","Albany, GA, 31701",Commercial,8,1,"2 prior claims, $15000 total paid"
INS54406,"40, Male, Married","Macon, GA, 31201",Commercial,7,3,"1 prior claim, $5000 total paid"
INS54407,"28, Female, Single","Atlanta, GA, 30303",Commercial,5,1,"1 prior claim, $5000 total paid"
INS54408,"28, Female, Single","Augusta, GA, 30901",High Value,20,1,"1 prior claim, $5000 total paid"
INS54409,"35, Male, Single","Augusta, GA, 30901",Small Business,3,1,"3 prior claims, $20000 total paid"
INS54410,"40, Male, Married","Macon, GA, 31201",Commercial,8,4,"3 prior claims, $20000 total paid"
INS54411,"55, Female, Single","Atlanta, GA, 30303",High Value,10,4,"2 prior claims, $15000 total paid"
INS54412,"40, Male, Married","Augusta, GA, 30901",Commercial,3,2,0 prior claims
INS54413,"40, Male, Married","Athens, GA, 30601",Commercial,8,2,"3 prior claims, $20000 total paid"
INS54414,"55, Female, Single","Macon, GA, 31201",Commercial,20,1,"1 prior claim, $5000 total paid"
INS54415,"28, Female, Single","Columbus, GA, 31901",High Value,8,4,"1 prior claim, $5000 total paid"
INS54416,"60, Male, Single","Columbus, GA, 31901",Standard,18,3,"2 prior claims, $15000 total paid"
INS54417,"28, Female, Single","Athens, GA, 30601",High Value,1,3,"1 prior claim, $2000 total paid"
INS54418,"30, Female, Married","Roswell, GA, 30075",Small Business,19,4,"1 prior claim, $2000 total paid"
INS54419,"60, Male, Single","Athens, GA, 30601",Commercial,10,2,"3 prior claims, $20000 total paid"
INS54420,"40, Male, Married","Albany, GA, 31701",High Value,5,4,"1 prior claim, $5000 total paid"
INS54421,"50, Female, Married","Macon, GA, 31201",Small Business,8,2,0 prior claims
INS54422,"28, Female, Single","Macon, GA, 31201",Standard,7,2,"1 prior claim, $5000 total paid"
INS54423,"50, Female, Married","Columbus, GA, 31901",High Value,3,1,"2 prior claims, $15000 total paid"
INS54424,"50, Female, Married","Albany, GA, 31701",Commercial,3,2,"1 prior claim, $2000 total paid"
INS54425,"28, Female, Single","Roswell, GA, 30075",Small Business,8,1,"2 prior claims, $15000 total paid"
INS54426,"40, Male, Married","Augusta, GA, 30901",High Value,19,2,"1 prior claim, $2000 total paid"
INS54427,"45, Male, Married","Savannah, GA, 31401",Standard,6,4,"1 prior claim, $5000 total paid"
INS54428,"60, Male, Single","Savannah, GA, 31401",Small Business,17,4,0 prior claims
INS54429,"60, Male, Single","Augusta, GA, 30901",Standard,15,2,"1 prior claim, $2000 total paid"
INS54430,"60, Male, Single","Athens, GA, 30601",Small Business,4,1,"2 prior claims, $15000 total paid"
INS54431,"35, Male, Single","Atlanta, GA, 30303",Standard,7,4,0 prior claims
INS54432,"60, Male, Single","Albany, GA, 31701",Commercial,6,4,"1 prior claim, $2000 total paid"
INS54433,"40, Male, Married","Albany, GA, 31701",High Value,15,1,"1 prior claim, $5000 total paid"
INS54434,"45, Male, Married","Athens, GA, 30601",High Value,14,1,"2 prior claims, $15000 total paid"
INS54435,"50, Female, Married","Columbus, GA, 31901",Small Business,14,3,"1 prior claim, $2000 total paid"
INS54436,"30, Female, Married","Roswell, GA, 30075",Commercial,2,4,"1 prior claim, $2000 total paid"
INS54437,"30, Female, Married","Roswell, GA, 30075",Commercial,7,4,"3 prior claims, $20000 total paid"
INS54438,"55, Female, Single","Columbus, GA, 31901",Small Business,20,3,"1 prior claim, $2000 total paid"
INS54439,"50, Female, Married","Athens, GA, 30601",Standard,4,4,0 prior claims
INS54440,"35, Male, Single","Macon, GA, 31201",High Value,11,1,"1 prior claim, $5000 total paid"
INS54441,"35, Male, Single","Macon, GA, 31201",Commercial,14,2,"1 prior claim, $2000 total paid"
INS54442,"40, Male, Married","Roswell, GA, 30075",Standard,8,3,0 prior claims
INS54443,"28, Female, Single","Columbus, GA, 31901",Small Business,2,4,"1 prior claim, $5000 total paid"
INS54444,"55, Female, Single","Augusta, GA, 30901",Standard,7,1,"3 prior claims, $20000 total paid"
INS54445,"30, Female, Married","Augusta, GA, 30901",Standard,15,1,"1 prior claim, $2000 total paid"
INS54446,"30, Female, Married","Albany, GA, 31701",Small Business,12,4,"1 prior claim, $2000 total paid"
INS54447,"50, Female, Married","Augusta, GA, 30901",High Value,5,4,"1 prior claim, $2000 total paid"
INS54448,"60, Male, Single","Atlanta, GA, 30303",High Value,7,2,"1 prior claim, $2000 total paid"
INS54449,"50, Female, Married","Albany, GA, 31701",Commercial,18,1,"3 prior claims, $20000 total paid"
INS54450,"30, Female, Married","Athens, GA, 30601",Small Business,1,4,"3 prior claims, $20000 total paid"
INS54451,"45, Male, Married","Atlanta, GA, 30303",Small Business,19,2,0 prior claims
INS54452,"40, Male, Married","Albany, GA, 31701",Standard,15,3,"1 prior claim, $5000 total paid"
INS54453,"50, Female, Married","Albany, GA, 31701",Standard,2,3,"1 prior claim, $5000 total paid"
INS54454,"35, Male, Single","Macon, GA, 31201",Standard,4,3,"3 prior claims, $20000 total paid"
INS54455,"45, Male, Married","Savannah, GA, 31401",Commercial,7,2,"1 prior claim, $5000 total paid"
INS54456,"55, Female, Single","Savannah, GA, 31401",High Value,7,4,"1 prior claim, $5000 total paid"
INS54457,"60, Male, Single","Macon, GA, 31201",High Value,18,1,"2 prior claims, $15000 total paid"
INS54458,"55, Female, Single","Roswell, GA, 30075",High Value,17,3,0 prior claims
INS54459,"60, Male, Single","Roswell, GA, 30075",Small Business,20,3,0 prior claims
INS54460,"60, Male, Single","Atlanta, GA, 30303",Commercial,4,1,"1 prior claim, $5000 total paid"
INS54461,"30, Female, Married","Augusta, GA, 30901",Commercial,8,4,"1 prior claim, $5000 total paid"
INS54462,"35, Male, Single","Macon, GA, 31201",High Value,17,3,"1 prior claim, $2000 total paid"
INS54463,"28, Female, Single","Roswell, GA, 30075",Commercial,5,3,"1 prior claim, $5000 total paid"
INS54464,"60, Male, Single","Athens, GA, 30601",Standard,2,1,"3 prior claims, $20000 total paid"
INS54465,"45, Male, Married","Macon, GA, 31201",Standard,20,1,"3 prior claims, $20000 total paid"
INS54466,"60, Male, Single","Roswell, GA, 30075",Small Business,1,1,"3 prior claims, $20000 total paid"
INS54467,"45, Male, Married","Roswell, GA, 30075",High Value,11,2,"1 prior claim, $5000 total paid"
INS54468,"28, Female, Single","Savannah, GA, 31401",Commercial,18,3,0 prior claims
INS54469,"35, Male, Single","Atlanta, GA, 30303",Small Business,2,1,"1 prior claim, $2000 total paid"
INS54470,"40, Male, Married","Atlanta, GA, 30303",Standard,10,1,"3 prior claims, $20000 total paid"
INS54471,"30, Female, Married","Athens, GA, 30601",Commercial,16,3,"1 prior claim, $2000 total paid"
INS54472,"40, Male, Married","Albany, GA, 31701",High Value,11,3,0 prior claims
INS54473,"55, Female, Single","Roswell, GA, 30075",High Value,20,1,0 prior claims
INS54474,"40, Male, Married","Atlanta, GA, 30303",Commercial,15,1,"2 prior claims, $15000 total paid"
INS54475,"40, Male, Married","Roswell, GA, 30075",Standard,16,1,"1 prior claim, $2000 total paid"
INS54476,"35, Male, Single","Athens, GA, 30601",Small Business,10,1,"1 prior claim, $5000 total paid"
INS54477,"40, Male, Married","Atlanta, GA, 30303",High Value,20,1,0 prior claims
INS54478,"60, Male, Single","Augusta, GA, 30901",Standard,8,3,0 prior claims
INS54479,"60, Male, Single","Savannah, GA, 31401",Standard,14,2,"1 prior claim, $2000 total paid"
INS54480,"50, Female, Married","Augusta, GA, 30901",Commercial,13,1,"1 prior claim, $2000 total paid"
INS54481,"30, Female, Married","Savannah, GA, 31401",Small Business,16,1,"3 prior claims, $20000 total paid"
INS54482,"35, Male, Single","Roswell, GA, 30075",Small Business,11,3,0 prior claims
INS54483,"30, Female, Married","Albany, GA, 31701",Commercial,15,2,0 prior claims
INS54484,"40, Male, Married","Columbus, GA, 31901",Standard,3,1,0 prior claims
INS54485,"35, Male, Single","Savannah, GA, 31401",Small Business,1,4,"2 prior claims, $15000 total paid"
INS54486,"60, Male, Single","Atlanta, GA, 30303",Standard,11,1,"2 prior claims, $15000 total paid"
INS54487,"28, Female, Single","Athens, GA, 30601",Small Business,18,2,"1 prior claim, $5000 total paid"
INS54488,"40, Male, Married","Atlanta, GA, 30303",Standard,2,1,"3 prior claims, $20000 total paid"
INS54489,"28, Female, Single","Columbus, GA, 31901",Commercial,13,2,"2 prior claims, $15000 total paid"
INS54490,"45, Male, Married","Augusta, GA, 30901",Small Business,3,3,"2 prior claims, $15000 total paid"
INS54491,"35, Male, Single","Athens, GA, 30601",Standard,6,2,"2 prior claims, $15000 total paid"
INS54492,"55, Female, Single","Columbus, GA, 31901",Small Business,3,1,"2 prior claims, $15000 total paid"
INS54493,"35, Male, Single","Macon, GA, 31201",High Value,13,4,"3 prior claims, $20000 total paid"
INS54494,"40, Male, Married","Columbus, GA, 31901",Standard,11,1,0 prior claims
INS54495,"55, Female, Single","Macon, GA, 31201",Small Business,14,4,"2 prior claims, $15000 total paid"
INS54496,"55, Female, Single","Roswell, GA, 30075",High Value,20,4,"3 prior claims, $20000 total paid"
INS54497,"28, Female, Single","Albany, GA, 31701",Standard,5,4,"1 prior claim, $5000 total paid"
INS54498,"35, Male, Single","Roswell, GA, 30075",High Value,17,2,"2 prior claims, $15000 total paid"
INS54499,"28, Female, Single","Augusta, GA, 30901",Small Business,5,2,"3 prior claims, $20000 total paid"
INS54500,"30, Female, Married","Macon, GA, 31201",Commercial,1,1,0 prior claims
INS54501,"60, Male, Single","Columbus, GA, 31901",High Value,15,1,"1 prior claim, $5000 total paid"
INS54502,"30, Female, Married","Columbus, GA, 31901",High Value,18,2,"2 prior claims, $15000 total paid"
INS54503,"40, Male, Married","Macon, GA, 31201",High Value,18,1,"2 prior claims, $15000 total paid"
INS54504,"50, Female, Married","Albany, GA, 31701",High Value,12,2,"1 prior claim, $5000 total paid"
INS54505,"55, Female, Single","Albany, GA, 31701",Standard,14,2,"1 prior claim, $5000 total paid"
INS54506,"40, Male, Married","Augusta, GA, 30901",High Value,6,3,"1 prior claim, $5000 total paid"
INS54507,"40, Male, Married","Augusta, GA, 30901",Standard,9,2,"1 prior claim, $5000 total paid"
INS54508,"28, Female, Single","Macon, GA, 31201",High Value,2,1,"1 prior claim, $2000 total paid"
INS54509,"28, Female, Single","Macon, GA, 31201",Small Business,11,2,"1 prior claim, $2000 total paid"
INS54510,"35, Male, Single","Columbus, GA, 31901",Standard,20,4,"1 prior claim, $2000 total paid"
INS54511,"50, Female, Married","Athens, GA, 30601",Commercial,16,1,"1 prior claim, $5000 total paid"
INS54512,"50, Female, Married","Savannah, GA, 31401",High Value,12,4,"3 prior claims, $20000 total paid"
INS54513,"40, Male, Married","Macon, GA, 31201",Standard,4,4,"3 prior claims, $20000 total paid"
INS54514,"40, Male, Married","Albany, GA, 31701",Commercial,2,3,0 prior claims
INS54515,"35, Male, Single","Roswell, GA, 30075",Commercial,3,4,"1 prior claim, $2000 total paid"
INS54516,"28, Female, Single","Atlanta, GA, 30303",Small Business,17,3,"2 prior claims, $15000 total paid"
INS54517,"60, Male, Single","Athens, GA, 30601",Small Business,1,4,"3 prior claims, $20000 total paid"
INS54518,"60, Male, Single","Atlanta, GA, 30303",Small Business,7,4,"1 prior claim, $2000 total paid"
INS54519,"55, Female, Single","Columbus, GA, 31901",Commercial,1,1,"1 prior claim, $2000 total paid"
INS54520,"45, Male, Married","Albany, GA, 31701",High Value,20,1,"3 prior claims, $20000 total paid"
INS54521,"30, Female, Married","Athens, GA, 30601",High Value,14,1,"2 prior claims, $15000 total paid"
INS54522,"28, Female, Single","Macon, GA, 31201",Small Business,13,1,"2 prior claims, $15000 total paid"
INS54523,"50, Female, Married","Columbus, GA, 31901",Small Business,16,2,"3 prior claims, $20000 total paid"
INS54524,"30, Female, Married","Macon, GA, 31201",Standard,16,1,0 prior claims
INS54525,"45, Male, Married","Athens, GA, 30601",Small Business,19,4,0 prior claims
INS54526,"35, Male, Single","Roswell, GA, 30075",Small Business,6,2,"1 prior claim, $5000 total paid"
INS54527,"45, Male, Married","Athens, GA, 30601",Standard,3,1,"1 prior claim, $5000 total paid"
INS54528,"55, Female, Single","Athens, GA, 30601",Commercial,8,3,0 prior claims
INS54529,"30, Female, Married","Augusta, GA, 30901",Standard,13,4,"2 prior claims, $15000 total paid"
INS54530,"40, Male, Married","Savannah, GA, 31401",High Value,16,2,"1 prior claim, $5000 total paid"
INS54531,"35, Male, Single","Atlanta, GA, 30303",Small Business,18,3,"1 prior claim, $2000 total paid"
INS54532,"50, Female, Married","Atlanta, GA, 30303",Small Business,18,2,"1 prior claim, $2000 total paid"
INS54533,"55, Female, Single","Savannah, GA, 31401",Standard,7,3,"2 prior claims, $15000 total paid"
INS54534,"55, Female, Single","Columbus, GA, 31901",Standard,9,2,0 prior claims
INS54535,"35, Male, Single","Albany, GA, 31701",Small Business,15,1,"1 prior claim, $2000 total paid"
INS54536,"35, Male, Single","Atlanta, GA, 30303",Standard,14,4,"3 prior claims, $20000 total paid"
INS54537,"45, Male, Married","Columbus, GA, 31901",Standard,1,4,"1 prior claim, $5000 total paid"
INS54538,"28, Female, Single","Albany, GA, 31701",Small Business,19,3,0 prior claims
INS54539,"30, Female, Married","Athens, GA, 30601",Small Business,11,3,"2 prior claims, $15000 total paid"
INS54540,"55, Female, Single","Roswell, GA, 30075",Standard,9,2,"2 prior claims, $15000 total paid"
INS54541,"55, Female, Single","Macon, GA, 31201",High Value,10,2,"1 prior claim, $2000 total paid"
INS54542,"60, Male, Single","Albany, GA, 31701",Small Business,13,3,0 prior claims
INS54543,"45, Male, Married","Augusta, GA, 30901",Small Business,9,4,"3 prior claims, $20000 total paid"
INS54544,"45, Male, Married","Savannah, GA, 31401",Small Business,14,1,"1 prior claim, $5000 total paid"
INS54545,"60, Male, Single","Augusta, GA, 30901",High Value,1,1,0 prior claims
INS54546,"60, Male, Single","Roswell, GA, 30075",Commercial,9,3,"3 prior claims, $20000 total paid"
INS54547,"28, Female, Single","Albany, GA, 31701",High Value,4,4,"1 prior claim, $5000 total paid"
INS54548,"45, Male, Married","Atlanta, GA, 30303",Standard,9,2,"1 prior claim, $5000 total paid"
INS54549,"45, Male, Married","Augusta, GA, 30901",Commercial,13,3,"3 prior claims, $20000 total paid"
INS54550,"35, Male, Single","Athens, GA, 30601",Standard,10,1,"2 prior claims, $15000 total paid"
INS54551,"50, Female, Married","Columbus, GA, 31901",High Value,16,4,"1 prior claim, $5000 total paid"
INS54552,"30, Female, Married","Augusta, GA, 30901",High Value,18,2,0 prior claims
INS54553,"28, Female, Single","Albany, GA, 31701",Commercial,5,4,0 prior claims
INS54554,"45, Male, Married","Columbus, GA, 31901",Small Business,19,4,"2 prior claims, $15000 total paid"
INS54555,"55, Female, Single","Savannah, GA, 31401",High Value,15,1,"1 prior claim, $2000 total paid"
INS54556,"40, Male, Married","Columbus, GA, 31901",Small Business,16,3,"1 prior claim, $2000 total paid"
INS54557,"50, Female, Married","Macon, GA, 31201",Commercial,8,3,"1 prior claim, $2000 total paid"
INS54558,"30, Female, Married","Roswell, GA, 30075",High Value,12,2,"2 prior claims, $15000 total paid"
INS54559,"50, Female, Married","Atlanta, GA, 30303",Commercial,5,3,"1 prior claim, $5000 total paid"
INS54560,"50, Female, Married","Savannah, GA, 31401",Standard,10,4,"1 prior claim, $5000 total paid"
INS54561,"60, Male, Single","Macon, GA, 31201",High Value,11,2,"1 prior claim, $5000 total paid"
INS54562,"30, Female, Married","Macon, GA, 31201",Commercial,18,4,"3 prior claims, $20000 total paid"
INS54563,"35, Male, Single","Savannah, GA, 31401",Commercial,20,2,"3 prior claims, $20000 total paid"
INS54564,"55, Female, Single","Savannah, GA, 31401",Commercial,3,3,"2 prior claims, $15000 total paid"
INS54565,"60, Male, Single","Savannah, GA, 31401",Commercial,17,1,"1 prior claim, $2000 total paid"
INS54566,"28, Female, Single","Athens, GA, 30601",Small Business,19,1,"1 prior claim, $5000 total paid"
INS54567,"55, Female, Single","Albany, GA, 31701",Standard,10,2,0 prior claims
INS54568,"50, Female, Married","Atlanta, GA, 30303",Standard,11,3,"3 prior claims, $20000 total paid"
INS54569,"50, Female, Married","Roswell, GA, 30075",High Value,6,2,"1 prior claim, $2000 total paid"
INS54570,"55, Female, Single","Atlanta, GA, 30303",High Value,19,4,"1 prior claim, $5000 total paid"
INS54571,"30, Female, Married","Savannah, GA, 31401",Standard,15,4,"3 prior claims, $20000 total paid"
INS54572,"28, Female, Single","Roswell, GA, 30075",Small Business,17,4,"2 prior claims, $15000 total paid"
INS54573,"40, Male, Married","Atlanta, GA, 30303",Small Business,6,3,0 prior claims
INS54574,"60, Male, Single","Atlanta, GA, 30303",Standard,5,2,"1 prior claim, $5000 total paid"
INS54575,"45, Male, Married","Albany, GA, 31701",Standard,1,1,"1 prior claim, $5000 total paid"
INS54576,"35, Male, Single","Albany, GA, 31701",Commercial,13,2,"3 prior claims, $20000 total paid"
INS54577,"55, Female, Single","Savannah, GA, 31401",Small Business,9,1,0 prior claims
INS54578,"28, Female, Single","Savannah, GA, 31401",Commercial,8,2,"1 prior claim, $2000 total paid"
INS54579,"28, Female, Single","Roswell, GA, 30075",High Value,9,3,"1 prior claim, $2000 total paid"
INS54580,"28, Female, Single","Savannah, GA, 31401",Standard,19,1,0 prior claims
INS54581,"50, Female, Married","Macon, GA, 31201",Commercial,5,4,0 prior claims
INS54582,"40, Male, Married","Athens, GA, 30601",High Value,3,2,0 prior claims
INS54583,"40, Male, Married","Columbus, GA, 31901",Small Business,9,4,0 prior claims
INS54584,"60, Male, Single","Roswell, GA, 30075",Small Business,3,3,"3 prior claims, $20000 total paid"
INS54585,"40, Male, Married","Savannah, GA, 31401",Standard,18,4,"1 prior claim, $2000 total paid"
INS54586,"60, Male, Single","Roswell, GA, 30075",High Value,15,4,"1 prior claim, $5000 total paid"
INS54587,"55, Female, Single","Atlanta, GA, 30303",Standard,20,3,"2 prior claims, $15000 total paid"
INS54588,"35, Male, Single","Columbus, GA, 31901",Standard,6,2,"2 prior claims, $15000 total paid"
INS54589,"35, Male, Single","Atlanta, GA, 30303",Small Business,11,2,"1 prior claim, $5000 total paid"
INS54590,"30, Female, Married","Atlanta, GA, 30303",Commercial,8,1,"3 prior claims, $20000 total paid"
INS54591,"30, Female, Married","Roswell, GA, 30075",Small Business,11,2,"1 prior claim, $2000 total paid"
INS54592,"55, Female, Single","Columbus, GA, 31901",High Value,13,2,"3 prior claims, $20000 total paid"
INS54593,"45, Male, Married","Columbus, GA, 31901",Standard,18,1,"2 prior claims, $15000 total paid"
INS54594,"50, Female, Married","Albany, GA, 31701",Small Business,19,3,"2 prior claims, $15000 total paid"
INS54595,"45, Male, Married","Macon, GA, 31201",High Value,11,2,"2 prior claims, $15000 total paid"
INS54596,"30, Female, Married","Macon, GA, 31201",Standard,10,4,"2 prior claims, $15000 total paid"
INS54597,"35, Male, Single","Savannah, GA, 31401",Commercial,5,4,"3 prior claims, $20000 total paid"
INS54598,"40, Male, Married","Macon, GA, 31201",Commercial,20,4,"1 prior claim, $5000 total paid"
INS54599,"30, Female, Married","Columbus, GA, 31901",High Value,3,2,"3 prior claims, $20000 total paid"
INS54600,"60, Male, Single","Atlanta, GA, 30303",High Value,6,4,"1 prior claim, $2000 total paid"
