Policy Number,Policy Effective Date,Policy Expiration Date,Product Name/Type,Coverage Limits,Deductible Amount,Premium Amount,Agent/Broker ID,Underwriting Segment/Risk Class
POL78950,6/15/22,6/14/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL78951,6/4/22,6/3/23,Health Basic,5000,250,500,AGT103,Standard
POL78952,11/18/22,11/17/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL78953,8/7/22,8/6/23,Health Basic,5000,250,500,AGT102,Standard
POL78954,7/18/22,7/17/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78955,5/27/22,5/26/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL78956,7/29/22,7/28/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL78957,7/13/23,7/11/24,Auto Standard,100000,500,1200,AGT101,Standard
POL78958,1/5/22,1/4/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78959,8/25/23,8/23/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78960,11/11/23,11/9/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL78961,12/20/22,12/19/23,Health Basic,5000,250,500,AGT102,Standard
POL78962,3/17/22,3/16/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78963,9/15/22,9/14/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78964,5/24/23,5/22/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78965,3/4/23,3/2/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78966,3/11/22,3/10/23,Health Basic,5000,250,500,AGT101,Standard
POL78967,3/20/23,3/18/24,Auto Standard,100000,500,1200,AGT101,Standard
POL78968,7/12/23,7/10/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78969,12/6/22,12/5/23,Health Basic,5000,250,500,AGT103,Standard
POL78970,3/20/23,3/18/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL78971,9/19/23,9/17/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78972,2/1/22,1/31/23,Health Basic,5000,250,500,AGT103,Standard
POL78973,11/5/23,11/3/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78974,1/22/23,1/21/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78975,6/10/23,6/8/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78976,1/12/22,1/11/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78977,10/4/23,10/2/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78978,1/26/23,1/25/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78979,5/18/23,5/16/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78980,12/25/22,12/24/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78981,7/8/22,7/7/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78982,11/22/23,11/20/24,Auto Standard,100000,500,1200,AGT101,Standard
POL78983,3/16/22,3/15/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78984,9/18/22,9/17/23,Health Basic,5000,250,500,AGT102,Standard
POL78985,2/26/23,2/25/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78986,12/5/22,12/4/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78987,8/7/22,8/6/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78988,7/7/23,7/5/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78989,1/9/23,1/8/24,Health Basic,5000,250,500,AGT101,Standard
POL78990,2/27/22,2/26/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78991,9/30/23,9/28/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78992,12/31/23,12/29/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78993,3/1/23,2/28/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78994,6/7/23,6/5/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78995,1/19/22,1/18/23,Health Basic,5000,250,500,AGT101,Standard
POL78996,9/6/22,9/5/23,Auto Standard,100000,500,1200,AGT101,Standard
POL78997,4/16/23,4/14/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78998,4/25/22,4/24/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78999,12/4/23,12/2/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79000,11/23/23,11/21/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79001,7/29/23,7/27/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79002,9/4/23,9/2/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79003,2/4/23,2/3/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79004,5/26/23,5/24/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79005,2/14/22,2/13/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79006,6/24/22,6/23/23,Health Basic,5000,250,500,AGT101,Standard
POL79007,5/3/22,5/2/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79008,7/19/22,7/18/23,Health Basic,5000,250,500,AGT103,Standard
POL79009,11/13/23,11/11/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79010,4/24/22,4/23/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79011,12/13/23,12/11/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79012,10/5/22,10/4/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79013,1/27/22,1/26/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79014,8/2/22,8/1/23,Health Basic,5000,250,500,AGT103,Standard
POL79015,3/21/22,3/20/23,Health Basic,5000,250,500,AGT103,Standard
POL79016,8/16/22,8/15/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79017,10/21/22,10/20/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79018,9/10/22,9/9/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79019,3/8/23,3/6/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79020,8/9/22,8/8/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79021,3/28/22,3/27/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79022,8/8/22,8/7/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79023,9/20/23,9/18/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79024,9/17/23,9/15/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79025,9/13/23,9/11/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79026,12/11/23,12/9/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79027,12/15/22,12/14/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79028,10/23/23,10/21/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79029,9/27/23,9/25/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79030,12/7/23,12/5/24,Health Basic,5000,250,500,AGT103,Standard
POL79031,5/8/22,5/7/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79032,1/25/23,1/24/24,Health Basic,5000,250,500,AGT102,Standard
POL79033,3/15/23,3/13/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79034,1/23/23,1/22/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79035,5/5/22,5/4/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79036,12/25/23,12/23/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79037,2/15/23,2/14/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79038,3/30/23,3/28/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79039,3/26/23,3/24/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79040,4/21/23,4/19/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79041,7/29/22,7/28/23,Health Basic,5000,250,500,AGT101,Standard
POL79042,9/30/22,9/29/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79043,2/28/22,2/27/23,Auto Standard,100000,500,1200,AGT103,Standard
POL79044,11/21/22,11/20/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79045,9/29/22,9/28/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79046,9/8/22,9/7/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79047,6/30/22,6/29/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79048,11/12/23,11/10/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79049,6/3/23,6/1/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79050,10/13/22,10/12/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79051,7/2/22,7/1/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79052,10/6/23,10/4/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79053,10/10/23,10/8/24,Health Basic,5000,250,500,AGT103,Standard
POL79054,1/18/23,1/17/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79055,3/3/23,3/1/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79056,3/22/23,3/20/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79057,7/23/23,7/21/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79058,6/24/23,6/22/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79059,10/28/22,10/27/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79060,10/9/23,10/7/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79061,3/13/23,3/11/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79062,1/23/22,1/22/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79063,10/28/22,10/27/23,Health Basic,5000,250,500,AGT103,Standard
POL79064,12/29/23,12/27/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79065,5/23/23,5/21/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79066,4/8/23,4/6/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79067,5/6/22,5/5/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79068,2/12/22,2/11/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79069,5/14/22,5/13/23,Auto Standard,100000,500,1200,AGT103,Standard
POL79070,8/15/22,8/14/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79071,5/20/23,5/18/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79072,8/14/22,8/13/23,Health Basic,5000,250,500,AGT102,Standard
POL79073,3/2/23,2/29/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79074,3/22/23,3/20/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79075,4/6/22,4/5/23,Health Basic,5000,250,500,AGT102,Standard
POL79076,12/8/22,12/7/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79077,2/26/23,2/25/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79078,3/29/22,3/28/23,Health Basic,5000,250,500,AGT102,Standard
POL79079,9/3/22,9/2/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79080,3/21/23,3/19/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79081,5/18/23,5/16/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79082,12/11/23,12/9/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79083,8/16/23,8/14/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79084,4/1/22,3/31/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79085,2/20/22,2/19/23,Auto Standard,100000,500,1200,AGT103,Standard
POL79086,2/28/23,2/27/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79087,2/21/22,2/20/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79088,10/15/23,10/13/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79089,3/6/22,3/5/23,Health Basic,5000,250,500,AGT101,Standard
POL79090,11/17/23,11/15/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79091,2/21/23,2/20/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79092,8/30/22,8/29/23,Health Basic,5000,250,500,AGT103,Standard
POL79093,2/8/22,2/7/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79094,8/22/23,8/20/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79095,5/5/22,5/4/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79096,5/16/23,5/14/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79097,2/8/22,2/7/23,Auto Standard,100000,500,1200,AGT103,Standard
POL79098,1/10/23,1/9/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79099,5/30/22,5/29/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79100,2/19/22,2/18/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79101,1/10/22,1/9/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79102,7/28/23,7/26/24,Health Basic,5000,250,500,AGT101,Standard
POL79103,6/9/23,6/7/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79104,3/13/23,3/11/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79105,12/18/22,12/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79106,12/8/22,12/7/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79107,12/19/23,12/17/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79108,12/20/22,12/19/23,Health Basic,5000,250,500,AGT102,Standard
POL79109,7/2/23,6/30/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79110,10/28/23,10/26/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79111,7/21/23,7/19/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79112,11/20/23,11/18/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79113,4/24/22,4/23/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79114,11/11/22,11/10/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79115,7/17/22,7/16/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79116,1/19/23,1/18/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79117,1/30/23,1/29/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79118,7/17/22,7/16/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79119,4/9/22,4/8/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79120,7/8/22,7/7/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79121,4/10/23,4/8/24,Health Basic,5000,250,500,AGT101,Standard
POL79122,10/21/22,10/20/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79123,8/23/23,8/21/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79124,12/10/23,12/8/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79125,5/19/23,5/17/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79126,7/20/23,7/18/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79127,12/2/23,11/30/24,Auto Standard,100000,500,1200,AGT101,Standard
POL79128,10/28/22,10/27/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79129,4/20/23,4/18/24,Health Basic,5000,250,500,AGT101,Standard
POL79130,6/25/23,6/23/24,Health Basic,5000,250,500,AGT103,Standard
POL79131,6/26/22,6/25/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79132,1/13/23,1/12/24,Health Basic,5000,250,500,AGT103,Standard
POL79133,12/16/23,12/14/24,Health Basic,5000,250,500,AGT103,Standard
POL79134,8/12/23,8/10/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79135,5/3/23,5/1/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79136,9/19/22,9/18/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79137,11/8/23,11/6/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79138,11/19/23,11/17/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79139,12/20/22,12/19/23,Auto Standard,100000,500,1200,AGT103,Standard
POL79140,1/31/22,1/30/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79141,4/17/23,4/15/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79142,7/25/23,7/23/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79143,6/19/23,6/17/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79144,12/16/22,12/15/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79145,3/31/22,3/30/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79146,1/25/23,1/24/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79147,3/24/22,3/23/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79148,1/7/22,1/6/23,Health Basic,5000,250,500,AGT103,Standard
POL79149,8/21/22,8/20/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79150,12/7/23,12/5/24,Health Basic,5000,250,500,AGT101,Standard
POL79151,6/18/22,6/17/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79152,9/15/22,9/14/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79153,8/1/23,7/30/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79154,9/9/23,9/7/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79155,9/8/22,9/7/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79156,10/13/22,10/12/23,Health Basic,5000,250,500,AGT103,Standard
POL79157,11/14/23,11/12/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79158,1/29/23,1/28/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79159,1/21/22,1/20/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79160,8/1/23,7/30/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79161,4/28/23,4/26/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79162,12/24/23,12/22/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79163,12/7/22,12/6/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79164,11/25/22,11/24/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79165,1/7/23,1/6/24,Health Basic,5000,250,500,AGT102,Standard
POL79166,1/1/22,12/31/22,Health Basic,5000,250,500,AGT103,Standard
POL79167,8/5/23,8/3/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79168,7/5/23,7/3/24,Health Basic,5000,250,500,AGT101,Standard
POL79169,11/13/22,11/12/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79170,8/5/23,8/3/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79171,12/12/23,12/10/24,Health Basic,5000,250,500,AGT101,Standard
POL79172,3/22/22,3/21/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79173,5/29/22,5/28/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79174,8/16/23,8/14/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79175,1/19/22,1/18/23,Health Basic,5000,250,500,AGT101,Standard
POL79176,3/3/23,3/1/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79177,6/23/22,6/22/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79178,1/5/22,1/4/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79179,6/21/23,6/19/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79180,8/23/22,8/22/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79181,10/14/22,10/13/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79182,12/1/23,11/29/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79183,8/9/22,8/8/23,Health Basic,5000,250,500,AGT102,Standard
POL79184,12/15/22,12/14/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79185,8/28/23,8/26/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79186,3/20/23,3/18/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79187,1/20/23,1/19/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79188,7/11/22,7/10/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79189,8/1/22,7/31/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79190,11/9/22,11/8/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79191,6/22/22,6/21/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79192,11/24/23,11/22/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79193,1/21/23,1/20/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79194,5/23/23,5/21/24,Health Basic,5000,250,500,AGT101,Standard
POL79195,3/27/23,3/25/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79196,8/30/22,8/29/23,Health Basic,5000,250,500,AGT101,Standard
POL79197,9/13/22,9/12/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79198,6/30/23,6/28/24,Health Basic,5000,250,500,AGT102,Standard
POL79199,5/1/23,4/29/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL79200,5/13/22,5/12/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79201,3/31/22,3/30/23,Health Basic,5000,250,500,AGT101,Standard
POL79202,1/10/23,1/9/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL79203,4/1/23,3/30/24,Health Basic,5000,250,500,AGT103,Standard
POL79204,5/14/22,5/13/23,Auto Standard,100000,500,1200,AGT102,Standard
POL79205,7/13/22,7/12/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79206,8/23/22,8/22/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL79207,4/29/23,4/27/24,Auto Standard,100000,500,1200,AGT103,Standard
POL79208,5/12/22,5/11/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79209,6/13/23,6/11/24,Auto Standard,100000,500,1200,AGT102,Standard
POL79210,12/24/23,12/22/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL79211,12/12/23,12/10/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79212,9/2/23,8/31/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL79213,1/31/23,1/30/24,Health Basic,5000,250,500,AGT102,Standard
POL79214,6/21/22,6/20/23,Health Basic,5000,250,500,AGT101,Standard
POL79215,6/6/22,6/5/23,Health Basic,5000,250,500,AGT103,Standard
POL79216,2/24/22,2/23/23,Auto Standard,100000,500,1200,AGT101,Standard
POL79217,9/8/22,9/7/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL79218,9/20/22,9/19/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL79219,11/16/23,11/14/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL79220,3/28/23,3/26/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL79221,3/3/23,3/1/24,Property Commercial,500000,2000,2500,AGT103,Commercial
