Claim ID,Transaction Date,Transaction Type,Amount Paid,Payment Category,Payee Type,Currency
CLM088,3/15/24,Expense,1121,Investigation,Legal Counsel,USD
CLM105,5/23/24,Expense,3990,Investigation,Legal Counsel,USD
CLM042,5/28/24,Expense,241,Replacement,Investigator,USD
CLM124,1/23/24,Payment,15031,Legal,Medical Provider,USD
CLM193,2/25/24,Expense,4924,Replacement,Legal Counsel,USD
CLM135,3/15/24,Expense,4300,Investigation,Investigator,USD
CLM060,2/17/24,Payment,11337,Repair,Policyholder,USD
CLM178,4/4/24,Expense,4089,Replacement,Legal Counsel,USD
CLM007,4/2/24,Expense,4502,Investigation,Investigator,USD
CLM139,1/30/24,Payment,37866,Medical,Policyholder,USD
CLM200,6/29/24,Expense,2824,Replacement,Legal Counsel,USD
CLM190,2/12/24,Expense,2794,Replacement,Investigator,USD
CLM008,6/1/24,Expense,4079,Investigation,Investigator,USD
CLM084,2/29/24,Expense,4865,Replacement,Investigator,USD
CLM036,5/21/24,Expense,1690,Replacement,Legal Counsel,USD
CLM130,6/28/24,Expense,2656,Investigation,Legal Counsel,USD
CLM081,5/3/24,Expense,3891,Investigation,Investigator,USD
CLM126,2/21/24,Payment,24492,Indemnity,Policyholder,USD
CLM018,5/8/24,Payment,8359,Legal,Policyholder,USD
CLM027,1/15/24,Payment,41040,Legal,Vendor,USD
CLM106,4/29/24,Payment,43079,Indemnity,Policyholder,USD
CLM012,1/31/24,Payment,18986,Medical,Policyholder,USD
CLM143,2/18/24,Expense,182,Investigation,Legal Counsel,USD
CLM049,5/5/24,Expense,1617,Investigation,Legal Counsel,USD
CLM063,4/21/24,Payment,33139,Repair,Policyholder,USD
CLM081,3/17/24,Expense,3997,Investigation,Legal Counsel,USD
CLM127,5/4/24,Expense,731,Investigation,Investigator,USD
CLM109,4/16/24,Expense,1213,Investigation,Investigator,USD
CLM187,4/17/24,Expense,2245,Investigation,Legal Counsel,USD
CLM188,4/28/24,Expense,3016,Replacement,Legal Counsel,USD
CLM124,1/31/24,Expense,2884,Replacement,Investigator,USD
CLM073,1/22/24,Expense,1412,Investigation,Investigator,USD
CLM073,4/30/24,Expense,2210,Replacement,Investigator,USD
CLM190,2/8/24,Payment,28251,Legal,Vendor,USD
CLM121,6/29/24,Payment,30068,Legal,Policyholder,USD
CLM156,3/31/24,Payment,13131,Repair,Vendor,USD
CLM168,3/19/24,Payment,20661,Medical,Medical Provider,USD
CLM059,6/29/24,Payment,11347,Legal,Medical Provider,USD
CLM021,5/30/24,Expense,2925,Investigation,Investigator,USD
CLM160,4/8/24,Payment,1494,Medical,Policyholder,USD
CLM037,2/17/24,Expense,3244,Replacement,Legal Counsel,USD
CLM093,6/23/24,Expense,3647,Replacement,Investigator,USD
CLM036,1/11/24,Payment,41155,Medical,Vendor,USD
CLM017,4/8/24,Expense,4839,Investigation,Investigator,USD
CLM102,5/23/24,Payment,38695,Indemnity,Vendor,USD
CLM155,2/17/24,Expense,1581,Replacement,Investigator,USD
CLM006,1/17/24,Payment,21349,Medical,Vendor,USD
CLM021,4/30/24,Payment,18369,Indemnity,Policyholder,USD
CLM098,6/24/24,Expense,3452,Investigation,Investigator,USD
CLM021,6/2/24,Expense,758,Investigation,Legal Counsel,USD
CLM162,3/9/24,Expense,623,Investigation,Investigator,USD
CLM160,5/26/24,Expense,2288,Replacement,Legal Counsel,USD
CLM186,6/24/24,Expense,752,Investigation,Legal Counsel,USD
CLM095,6/26/24,Payment,2419,Medical,Vendor,USD
CLM192,2/14/24,Expense,2028,Replacement,Legal Counsel,USD
CLM117,3/21/24,Expense,1148,Replacement,Legal Counsel,USD
CLM083,6/22/24,Expense,793,Investigation,Legal Counsel,USD
CLM012,3/3/24,Payment,3897,Legal,Policyholder,USD
CLM077,4/21/24,Expense,4863,Investigation,Legal Counsel,USD
CLM072,1/28/24,Payment,46931,Indemnity,Medical Provider,USD
CLM058,1/17/24,Payment,15725,Medical,Vendor,USD
CLM087,1/27/24,Payment,14754,Legal,Medical Provider,USD
CLM130,2/10/24,Payment,27041,Indemnity,Policyholder,USD
CLM192,5/8/24,Payment,29795,Medical,Medical Provider,USD
CLM198,5/29/24,Payment,13534,Legal,Medical Provider,USD
CLM149,6/24/24,Payment,42793,Legal,Vendor,USD
CLM117,2/4/24,Payment,24965,Legal,Medical Provider,USD
CLM041,2/9/24,Expense,4591,Investigation,Legal Counsel,USD
CLM087,1/3/24,Payment,38087,Indemnity,Medical Provider,USD
CLM134,4/3/24,Expense,3626,Replacement,Investigator,USD
CLM189,5/23/24,Payment,34712,Medical,Policyholder,USD
CLM074,1/4/24,Payment,41863,Medical,Policyholder,USD
CLM078,2/24/24,Payment,23238,Legal,Vendor,USD
CLM025,2/10/24,Expense,4878,Replacement,Investigator,USD
CLM132,1/1/24,Expense,1218,Replacement,Investigator,USD
CLM008,6/25/24,Expense,804,Investigation,Investigator,USD
CLM002,3/11/24,Payment,31867,Repair,Vendor,USD
CLM009,6/20/24,Expense,392,Investigation,Legal Counsel,USD
CLM002,1/4/24,Expense,4337,Investigation,Investigator,USD
CLM047,2/27/24,Expense,789,Investigation,Investigator,USD
CLM131,6/7/24,Payment,42612,Legal,Policyholder,USD
CLM066,4/9/24,Payment,33118,Legal,Policyholder,USD
CLM166,3/7/24,Payment,1796,Legal,Vendor,USD
CLM105,6/13/24,Expense,1615,Replacement,Investigator,USD
CLM041,3/22/24,Expense,4988,Investigation,Legal Counsel,USD
CLM029,3/16/24,Expense,376,Replacement,Legal Counsel,USD
CLM180,2/28/24,Payment,30848,Medical,Vendor,USD
CLM096,5/7/24,Expense,1315,Investigation,Investigator,USD
CLM118,1/31/24,Payment,37953,Legal,Policyholder,USD
CLM069,4/15/24,Expense,3803,Investigation,Legal Counsel,USD
CLM060,2/20/24,Payment,47519,Medical,Medical Provider,USD
CLM069,5/30/24,Expense,838,Replacement,Legal Counsel,USD
CLM136,6/19/24,Expense,4967,Investigation,Legal Counsel,USD
CLM197,6/2/24,Payment,16461,Indemnity,Policyholder,USD
CLM197,6/26/24,Payment,22703,Indemnity,Vendor,USD
CLM175,3/26/24,Expense,1766,Replacement,Legal Counsel,USD
CLM023,5/6/24,Payment,47331,Legal,Policyholder,USD
CLM001,4/1/24,Expense,4356,Replacement,Legal Counsel,USD
CLM064,6/5/24,Payment,31474,Indemnity,Policyholder,USD
CLM054,4/11/24,Payment,31544,Repair,Vendor,USD
CLM123,4/11/24,Payment,13916,Medical,Policyholder,USD
CLM028,3/14/24,Expense,144,Investigation,Investigator,USD
CLM176,5/26/24,Payment,24340,Medical,Medical Provider,USD
CLM066,3/4/24,Expense,934,Replacement,Legal Counsel,USD
CLM182,1/21/24,Expense,3691,Replacement,Legal Counsel,USD
CLM010,6/17/24,Payment,27387,Legal,Policyholder,USD
CLM177,6/9/24,Expense,1766,Investigation,Legal Counsel,USD
CLM150,2/15/24,Expense,4233,Investigation,Legal Counsel,USD
CLM097,5/3/24,Payment,38249,Repair,Vendor,USD
CLM013,2/5/24,Payment,36279,Repair,Policyholder,USD
CLM062,3/18/24,Payment,31022,Legal,Policyholder,USD
CLM011,3/25/24,Payment,31324,Medical,Vendor,USD
CLM161,6/16/24,Expense,80,Replacement,Investigator,USD
CLM189,6/18/24,Expense,3560,Investigation,Investigator,USD
CLM120,4/16/24,Expense,1840,Investigation,Legal Counsel,USD
CLM143,1/8/24,Expense,1184,Investigation,Investigator,USD
CLM104,6/9/24,Expense,2440,Investigation,Legal Counsel,USD
CLM121,4/27/24,Payment,5127,Medical,Policyholder,USD
CLM090,3/1/24,Payment,6175,Legal,Medical Provider,USD
CLM020,5/20/24,Payment,29324,Indemnity,Vendor,USD
CLM036,4/5/24,Expense,474,Replacement,Investigator,USD
CLM154,6/4/24,Expense,2718,Replacement,Investigator,USD
CLM101,6/24/24,Expense,167,Investigation,Legal Counsel,USD
CLM143,3/27/24,Expense,1089,Investigation,Investigator,USD
CLM078,4/23/24,Payment,13968,Legal,Medical Provider,USD
CLM043,6/17/24,Payment,28522,Legal,Vendor,USD
CLM173,2/13/24,Expense,2833,Replacement,Investigator,USD
CLM028,6/19/24,Payment,10627,Repair,Vendor,USD
CLM051,1/26/24,Expense,4439,Replacement,Legal Counsel,USD
CLM097,3/23/24,Payment,7557,Medical,Policyholder,USD
CLM074,4/20/24,Payment,21164,Indemnity,Medical Provider,USD
CLM005,1/14/24,Expense,1717,Investigation,Investigator,USD
CLM122,1/5/24,Expense,3039,Replacement,Investigator,USD
CLM059,1/17/24,Expense,3297,Investigation,Investigator,USD
CLM142,5/25/24,Payment,46819,Medical,Vendor,USD
CLM183,1/10/24,Expense,3096,Investigation,Investigator,USD
CLM199,5/15/24,Expense,1798,Replacement,Legal Counsel,USD
CLM121,4/28/24,Payment,21469,Legal,Vendor,USD
CLM080,1/21/24,Payment,25522,Indemnity,Policyholder,USD
CLM144,1/31/24,Payment,4054,Repair,Vendor,USD
CLM005,2/25/24,Payment,35597,Legal,Vendor,USD
CLM065,4/27/24,Expense,2998,Investigation,Legal Counsel,USD
CLM016,1/7/24,Expense,3405,Replacement,Legal Counsel,USD
CLM009,6/29/24,Expense,159,Replacement,Investigator,USD
CLM054,6/8/24,Payment,38606,Repair,Vendor,USD
CLM139,3/15/24,Payment,20204,Medical,Vendor,USD
CLM097,3/12/24,Expense,4216,Investigation,Investigator,USD
CLM043,1/23/24,Payment,47101,Repair,Vendor,USD
CLM083,6/17/24,Expense,4966,Replacement,Investigator,USD
CLM090,6/16/24,Expense,3809,Replacement,Investigator,USD
CLM105,5/19/24,Expense,1919,Investigation,Investigator,USD
CLM169,2/12/24,Payment,9576,Legal,Medical Provider,USD
CLM157,4/28/24,Payment,32887,Medical,Policyholder,USD
CLM009,3/10/24,Payment,29712,Repair,Policyholder,USD
CLM117,1/30/24,Expense,3385,Replacement,Legal Counsel,USD
CLM075,3/20/24,Expense,3391,Replacement,Legal Counsel,USD
CLM093,3/23/24,Expense,1113,Replacement,Investigator,USD
CLM043,2/28/24,Expense,1090,Replacement,Investigator,USD
CLM010,2/9/24,Payment,27124,Legal,Medical Provider,USD
CLM196,6/6/24,Payment,29367,Indemnity,Medical Provider,USD
CLM027,2/25/24,Expense,335,Replacement,Investigator,USD
CLM132,1/3/24,Expense,3278,Investigation,Investigator,USD
CLM085,4/6/24,Expense,1400,Investigation,Investigator,USD
CLM044,6/5/24,Expense,451,Investigation,Investigator,USD
CLM125,2/6/24,Payment,4284,Indemnity,Medical Provider,USD
CLM066,4/4/24,Expense,1948,Replacement,Investigator,USD
CLM025,4/10/24,Payment,28328,Repair,Vendor,USD
CLM058,2/7/24,Payment,49637,Medical,Medical Provider,USD
CLM051,4/7/24,Expense,4714,Replacement,Legal Counsel,USD
CLM125,6/6/24,Expense,1215,Investigation,Investigator,USD
CLM100,1/15/24,Expense,1434,Replacement,Investigator,USD
CLM020,2/24/24,Payment,45139,Legal,Policyholder,USD
CLM057,5/17/24,Payment,11763,Indemnity,Vendor,USD
CLM028,3/26/24,Payment,22683,Indemnity,Vendor,USD
CLM029,5/14/24,Payment,37145,Indemnity,Policyholder,USD
CLM067,1/28/24,Payment,10702,Medical,Policyholder,USD
CLM064,1/9/24,Payment,1135,Repair,Policyholder,USD
CLM096,6/20/24,Expense,1030,Replacement,Investigator,USD
CLM115,4/3/24,Payment,10100,Legal,Vendor,USD
CLM103,1/4/24,Payment,6589,Legal,Medical Provider,USD
CLM038,5/15/24,Payment,2644,Medical,Vendor,USD
CLM077,4/10/24,Payment,49913,Indemnity,Medical Provider,USD
CLM159,6/19/24,Payment,38118,Indemnity,Policyholder,USD
CLM004,5/15/24,Expense,2506,Replacement,Legal Counsel,USD
CLM196,6/3/24,Expense,360,Replacement,Investigator,USD
CLM134,4/26/24,Expense,1536,Replacement,Legal Counsel,USD
CLM027,1/12/24,Payment,9336,Medical,Policyholder,USD
CLM063,3/15/24,Expense,4412,Replacement,Legal Counsel,USD
CLM149,3/31/24,Payment,7697,Legal,Policyholder,USD
CLM142,6/15/24,Expense,4319,Replacement,Legal Counsel,USD
CLM078,4/9/24,Expense,3755,Replacement,Investigator,USD
CLM016,5/23/24,Payment,15820,Indemnity,Vendor,USD
CLM090,1/28/24,Payment,33383,Medical,Medical Provider,USD
CLM193,3/7/24,Payment,35062,Legal,Medical Provider,USD
CLM021,5/1/24,Expense,4839,Replacement,Investigator,USD
CLM078,3/25/24,Payment,20262,Legal,Vendor,USD
CLM182,5/3/24,Expense,551,Investigation,Investigator,USD
CLM177,4/3/24,Expense,3532,Investigation,Investigator,USD
CLM069,6/6/24,Payment,23068,Indemnity,Vendor,USD
CLM182,4/24/24,Expense,4141,Investigation,Legal Counsel,USD
CLM074,5/5/24,Payment,11366,Medical,Medical Provider,USD
CLM057,1/2/24,Expense,2918,Investigation,Investigator,USD
CLM138,5/27/24,Expense,2075,Replacement,Legal Counsel,USD
CLM182,2/5/24,Expense,2771,Investigation,Legal Counsel,USD
CLM156,6/18/24,Payment,49654,Medical,Vendor,USD
CLM063,5/28/24,Expense,3365,Replacement,Legal Counsel,USD
CLM052,3/25/24,Expense,4112,Replacement,Legal Counsel,USD
CLM138,6/23/24,Expense,1090,Replacement,Legal Counsel,USD
CLM082,6/27/24,Payment,7013,Indemnity,Policyholder,USD
CLM143,4/17/24,Expense,3120,Replacement,Investigator,USD
CLM038,4/29/24,Payment,8961,Legal,Policyholder,USD
CLM107,3/11/24,Expense,143,Replacement,Investigator,USD
CLM045,1/17/24,Payment,8062,Indemnity,Policyholder,USD
CLM006,6/24/24,Payment,18385,Medical,Vendor,USD
CLM034,6/1/24,Payment,18231,Medical,Medical Provider,USD
CLM154,4/1/24,Expense,4427,Replacement,Legal Counsel,USD
CLM120,5/10/24,Expense,2279,Investigation,Legal Counsel,USD
CLM049,4/9/24,Payment,22596,Indemnity,Medical Provider,USD
CLM007,5/26/24,Payment,9359,Indemnity,Policyholder,USD
CLM094,5/31/24,Expense,4438,Investigation,Investigator,USD
CLM142,5/30/24,Expense,2138,Replacement,Legal Counsel,USD
CLM197,4/13/24,Payment,16805,Medical,Medical Provider,USD
CLM006,5/4/24,Payment,14950,Repair,Policyholder,USD
CLM095,2/22/24,Expense,629,Replacement,Investigator,USD
CLM113,5/13/24,Payment,48808,Repair,Vendor,USD
CLM101,2/12/24,Payment,22977,Repair,Vendor,USD
CLM005,1/9/24,Expense,3543,Replacement,Legal Counsel,USD
CLM069,4/10/24,Expense,2723,Investigation,Legal Counsel,USD
CLM144,4/10/24,Expense,4055,Replacement,Investigator,USD
CLM193,4/1/24,Expense,2756,Investigation,Investigator,USD
CLM167,5/16/24,Payment,41185,Medical,Policyholder,USD
CLM093,3/1/24,Expense,4949,Investigation,Legal Counsel,USD
CLM079,2/20/24,Payment,8801,Repair,Vendor,USD
CLM052,1/6/24,Expense,4352,Investigation,Legal Counsel,USD
CLM156,4/9/24,Expense,843,Replacement,Legal Counsel,USD
CLM044,1/9/24,Expense,753,Investigation,Investigator,USD
CLM104,1/10/24,Expense,105,Investigation,Investigator,USD
CLM062,3/9/24,Expense,1530,Investigation,Investigator,USD
CLM173,2/21/24,Payment,21227,Legal,Vendor,USD
CLM119,4/27/24,Payment,45860,Repair,Vendor,USD
CLM117,1/17/24,Payment,37540,Indemnity,Medical Provider,USD
CLM165,3/19/24,Expense,1786,Investigation,Legal Counsel,USD
CLM037,6/24/24,Payment,8458,Indemnity,Medical Provider,USD
CLM033,1/22/24,Expense,81,Investigation,Legal Counsel,USD
CLM142,2/28/24,Payment,12272,Medical,Policyholder,USD
CLM154,4/17/24,Payment,39489,Legal,Medical Provider,USD
CLM192,6/13/24,Payment,44524,Legal,Vendor,USD
CLM196,2/19/24,Expense,4308,Replacement,Legal Counsel,USD
CLM164,1/13/24,Payment,49078,Indemnity,Medical Provider,USD
CLM109,5/12/24,Expense,3273,Replacement,Investigator,USD
CLM012,6/25/24,Expense,4635,Investigation,Legal Counsel,USD
CLM170,4/20/24,Payment,1138,Legal,Medical Provider,USD
CLM110,5/31/24,Payment,38046,Medical,Medical Provider,USD
CLM049,3/28/24,Expense,1042,Investigation,Investigator,USD
CLM021,3/18/24,Expense,1775,Replacement,Legal Counsel,USD
CLM097,1/13/24,Expense,810,Replacement,Legal Counsel,USD
CLM043,2/7/24,Payment,1621,Medical,Vendor,USD
CLM113,3/27/24,Payment,8358,Indemnity,Policyholder,USD
CLM198,2/7/24,Expense,2817,Investigation,Investigator,USD
CLM047,6/10/24,Payment,32320,Repair,Medical Provider,USD
CLM186,3/22/24,Expense,1343,Investigation,Investigator,USD
CLM134,6/26/24,Expense,4891,Replacement,Investigator,USD
CLM125,2/20/24,Payment,4299,Medical,Policyholder,USD
CLM003,1/12/24,Expense,2009,Investigation,Investigator,USD
CLM152,3/8/24,Expense,1392,Replacement,Investigator,USD
CLM130,3/9/24,Expense,3062,Investigation,Investigator,USD
CLM064,6/1/24,Payment,19170,Medical,Policyholder,USD
CLM160,2/24/24,Expense,3085,Investigation,Investigator,USD
CLM095,6/14/24,Expense,3148,Investigation,Investigator,USD
CLM001,1/21/24,Expense,3349,Investigation,Legal Counsel,USD
CLM042,4/24/24,Payment,19605,Repair,Vendor,USD
CLM109,5/30/24,Payment,2973,Indemnity,Medical Provider,USD
CLM026,5/15/24,Payment,19799,Indemnity,Medical Provider,USD
CLM196,2/9/24,Expense,3025,Investigation,Investigator,USD
CLM025,1/12/24,Expense,2629,Replacement,Investigator,USD
CLM134,6/11/24,Payment,42785,Indemnity,Policyholder,USD
CLM020,3/31/24,Payment,6589,Legal,Vendor,USD
CLM119,2/17/24,Expense,3615,Replacement,Legal Counsel,USD
CLM015,1/11/24,Payment,13431,Medical,Medical Provider,USD
CLM123,4/6/24,Expense,3339,Investigation,Investigator,USD
CLM148,6/24/24,Expense,2071,Replacement,Legal Counsel,USD
CLM095,4/19/24,Payment,46095,Repair,Vendor,USD
CLM094,2/12/24,Expense,971,Investigation,Legal Counsel,USD
CLM048,1/4/24,Expense,3820,Investigation,Legal Counsel,USD
CLM133,2/2/24,Expense,3953,Replacement,Investigator,USD
CLM196,4/8/24,Payment,39699,Medical,Vendor,USD
CLM026,5/7/24,Expense,141,Replacement,Legal Counsel,USD
CLM090,4/26/24,Expense,123,Investigation,Investigator,USD
CLM119,1/12/24,Expense,1919,Investigation,Legal Counsel,USD
CLM077,1/6/24,Expense,3463,Investigation,Legal Counsel,USD
CLM088,1/24/24,Expense,1612,Replacement,Investigator,USD
CLM132,2/22/24,Expense,1454,Replacement,Legal Counsel,USD
CLM142,2/7/24,Expense,193,Investigation,Investigator,USD
CLM143,1/25/24,Expense,955,Replacement,Legal Counsel,USD
CLM035,4/12/24,Payment,10419,Medical,Policyholder,USD
CLM098,6/2/24,Expense,2316,Investigation,Legal Counsel,USD
CLM124,2/6/24,Payment,23905,Repair,Medical Provider,USD
CLM076,3/22/24,Expense,3206,Replacement,Investigator,USD
CLM118,5/28/24,Expense,292,Replacement,Investigator,USD
CLM074,5/31/24,Expense,2269,Replacement,Investigator,USD
CLM090,4/29/24,Payment,34074,Repair,Vendor,USD
CLM164,5/15/24,Payment,12540,Medical,Vendor,USD
CLM027,4/13/24,Expense,250,Replacement,Investigator,USD
CLM163,1/26/24,Expense,4631,Investigation,Investigator,USD
CLM159,2/11/24,Payment,23813,Medical,Vendor,USD
CLM086,2/21/24,Payment,39081,Indemnity,Policyholder,USD
CLM103,5/10/24,Payment,26877,Legal,Policyholder,USD
CLM154,6/21/24,Payment,6555,Repair,Medical Provider,USD
CLM021,2/18/24,Expense,1313,Investigation,Investigator,USD
CLM039,6/27/24,Expense,2810,Investigation,Legal Counsel,USD
CLM193,4/25/24,Expense,1303,Replacement,Legal Counsel,USD
CLM136,2/21/24,Expense,289,Investigation,Legal Counsel,USD
CLM056,5/31/24,Expense,2355,Investigation,Investigator,USD
CLM004,2/14/24,Payment,31234,Indemnity,Medical Provider,USD
CLM188,1/6/24,Expense,127,Investigation,Legal Counsel,USD
