Claim ID,Milestone Name,Milestone Date,Duration in Stage
CLM0026,Claim Closed,3/6/24,9
CLM0027,Claim Assigned,1/12/24,0
CLM0027,Initial Contact Made,1/13/24,1
CLM0028,Claim Assigned,3/23/24,0
CLM0028,Initial Contact Made,3/24/24,1
CLM0028,Investigation Complete,4/22/24,29
CLM0028,Settlement Offer Made,5/5/24,13
CLM0029,Claim Assigned,3/17/24,0
CLM0029,Initial Contact Made,3/18/24,1
CLM0030,Claim Assigned,2/17/24,0
CLM0030,Initial Contact Made,2/18/24,1
CLM0030,Investigation Complete,3/16/24,27
CLM0030,Settlement Offer Made,3/19/24,3
CLM0030,Claim Closed,3/29/24,10
CLM0031,Claim Assigned,1/25/24,0
CLM0031,Initial Contact Made,1/26/24,1
CLM0031,Investigation Complete,2/19/24,24
CLM0031,Settlement Offer Made,2/24/24,5
CLM0031,Claim Closed,3/6/24,11
CLM0032,Claim Assigned,1/8/24,0
CLM0032,Initial Contact Made,1/9/24,1
CLM0033,Claim Assigned,2/20/24,0
CLM0033,Initial Contact Made,2/21/24,1
CLM0034,Claim Assigned,2/25/24,0
CLM0034,Initial Contact Made,2/26/24,1
CLM0035,Claim Assigned,3/8/24,0
CLM0035,Initial Contact Made,3/9/24,1
CLM0036,Claim Assigned,1/10/24,0
CLM0036,Initial Contact Made,1/11/24,1
CLM0036,Investigation Complete,1/31/24,20
CLM0036,Settlement Offer Made,2/13/24,13
CLM0036,Claim Closed,2/23/24,10
CLM0037,Claim Assigned,2/10/24,0
CLM0037,Initial Contact Made,2/11/24,1
CLM0038,Claim Assigned,1/15/24,0
CLM0038,Initial Contact Made,1/16/24,1
CLM0038,Investigation Complete,2/8/24,23
CLM0038,Settlement Offer Made,2/18/24,10
CLM0038,Claim Closed,2/28/24,10
CLM0039,Claim Assigned,3/17/24,0
CLM0039,Initial Contact Made,3/18/24,1
CLM0039,Investigation Complete,4/22/24,35
CLM0040,Claim Assigned,1/2/24,0
CLM0040,Initial Contact Made,1/3/24,1
CLM0040,Investigation Complete,2/6/24,34
CLM0040,Settlement Offer Made,2/18/24,12
CLM0041,Claim Assigned,1/17/24,0
CLM0041,Initial Contact Made,1/18/24,1
CLM0041,Investigation Complete,2/13/24,26
CLM0042,Claim Assigned,2/23/24,0
CLM0042,Initial Contact Made,2/24/24,1
CLM0042,Investigation Complete,3/24/24,29
CLM0042,Settlement Offer Made,4/8/24,15
CLM0042,Claim Closed,4/11/24,3
CLM0043,Claim Assigned,1/27/24,0
CLM0043,Initial Contact Made,1/28/24,1
CLM0043,Investigation Complete,2/29/24,32
CLM0044,Claim Assigned,2/7/24,0
CLM0044,Initial Contact Made,2/8/24,1
CLM0044,Investigation Complete,2/26/24,18
CLM0044,Settlement Offer Made,3/1/24,4
CLM0044,Claim Closed,3/9/24,8
CLM0045,Claim Assigned,1/1/24,0
CLM0045,Initial Contact Made,1/2/24,1
CLM0046,Claim Assigned,3/17/24,0
CLM0046,Initial Contact Made,3/18/24,1
CLM0046,Investigation Complete,4/2/24,15
CLM0046,Settlement Offer Made,4/10/24,8
CLM0047,Claim Assigned,3/30/24,0
CLM0047,Initial Contact Made,3/31/24,1
CLM0047,Investigation Complete,4/26/24,26
CLM0047,Settlement Offer Made,4/30/24,4
CLM0047,Claim Closed,5/13/24,13
CLM0048,Claim Assigned,1/3/24,0
CLM0048,Initial Contact Made,1/4/24,1
CLM0048,Investigation Complete,1/29/24,25
CLM0048,Settlement Offer Made,2/4/24,6
CLM0049,Claim Assigned,1/28/24,0
CLM0049,Initial Contact Made,1/29/24,1
CLM0049,Investigation Complete,2/19/24,21
CLM0049,Settlement Offer Made,3/5/24,15
CLM0049,Claim Closed,3/8/24,3
CLM0050,Claim Assigned,1/10/24,0
CLM0050,Initial Contact Made,1/11/24,1
CLM0050,Investigation Complete,2/7/24,27
CLM0050,Settlement Offer Made,2/11/24,4
CLM0051,Claim Assigned,3/15/24,0
CLM0051,Initial Contact Made,3/16/24,1
CLM0051,Investigation Complete,4/2/24,17
CLM0051,Settlement Offer Made,4/7/24,5
CLM0052,Claim Assigned,1/29/24,0
CLM0052,Initial Contact Made,1/30/24,1
CLM0053,Claim Assigned,1/8/24,0
CLM0053,Initial Contact Made,1/9/24,1
CLM0053,Investigation Complete,2/17/24,39
CLM0053,Settlement Offer Made,2/26/24,9
CLM0054,Claim Assigned,1/14/24,0
CLM0054,Initial Contact Made,1/15/24,1
CLM0054,Investigation Complete,1/25/24,10
CLM0054,Settlement Offer Made,2/9/24,15
CLM0055,Claim Assigned,1/9/24,0
CLM0055,Initial Contact Made,1/10/24,1
CLM0055,Investigation Complete,1/31/24,21
CLM0055,Settlement Offer Made,2/15/24,15
CLM0056,Claim Assigned,1/2/24,0
CLM0056,Initial Contact Made,1/3/24,1
CLM0056,Investigation Complete,2/2/24,30
CLM0056,Settlement Offer Made,2/12/24,10
CLM0056,Claim Closed,2/22/24,10
CLM0057,Claim Assigned,1/10/24,0
CLM0057,Initial Contact Made,1/11/24,1
CLM0058,Claim Assigned,3/23/24,0
CLM0058,Initial Contact Made,3/24/24,1
CLM0058,Investigation Complete,4/13/24,20
CLM0058,Settlement Offer Made,4/27/24,14
CLM0059,Claim Assigned,3/24/24,0
CLM0059,Initial Contact Made,3/25/24,1
CLM0060,Claim Assigned,2/26/24,0
CLM0060,Initial Contact Made,2/27/24,1
CLM0061,Claim Assigned,1/4/24,0
CLM0061,Initial Contact Made,1/5/24,1
CLM0062,Claim Assigned,2/8/24,0
CLM0062,Initial Contact Made,2/9/24,1
CLM0062,Investigation Complete,2/28/24,19
CLM0063,Claim Assigned,3/19/24,0
CLM0063,Initial Contact Made,3/20/24,1
CLM0063,Investigation Complete,4/16/24,27
CLM0064,Claim Assigned,3/11/24,0
CLM0064,Initial Contact Made,3/12/24,1
CLM0065,Claim Assigned,3/16/24,0
CLM0065,Initial Contact Made,3/17/24,1
CLM0065,Investigation Complete,4/13/24,27
CLM0066,Claim Assigned,2/18/24,0
CLM0066,Initial Contact Made,2/19/24,1
CLM0067,Claim Assigned,1/4/24,0
CLM0067,Initial Contact Made,1/5/24,1
CLM0067,Investigation Complete,2/7/24,33
CLM0067,Settlement Offer Made,2/12/24,5
CLM0068,Claim Assigned,2/24/24,0
CLM0068,Initial Contact Made,2/25/24,1
CLM0068,Investigation Complete,3/6/24,10
CLM0068,Settlement Offer Made,3/21/24,15
CLM0069,Claim Assigned,2/1/24,0
CLM0069,Initial Contact Made,2/2/24,1
CLM0069,Investigation Complete,3/6/24,33
CLM0070,Claim Assigned,3/24/24,0
CLM0070,Initial Contact Made,3/25/24,1
CLM0070,Investigation Complete,4/14/24,20
CLM0071,Claim Assigned,3/22/24,0
CLM0071,Initial Contact Made,3/23/24,1
CLM0072,Claim Assigned,3/18/24,0
CLM0072,Initial Contact Made,3/19/24,1
CLM0072,Investigation Complete,3/30/24,11
CLM0073,Claim Assigned,2/6/24,0
CLM0073,Initial Contact Made,2/7/24,1
CLM0074,Claim Assigned,3/4/24,0
CLM0074,Initial Contact Made,3/5/24,1
CLM0074,Investigation Complete,4/14/24,40
CLM0075,Claim Assigned,2/13/24,0
CLM0075,Initial Contact Made,2/14/24,1
CLM0076,Claim Assigned,3/11/24,0
CLM0076,Initial Contact Made,3/12/24,1
CLM0076,Investigation Complete,4/8/24,27
CLM0076,Settlement Offer Made,4/17/24,9
CLM0076,Claim Closed,4/30/24,13
CLM0077,Claim Assigned,2/22/24,0
CLM0077,Initial Contact Made,2/23/24,1
CLM0077,Investigation Complete,3/6/24,12
CLM0077,Settlement Offer Made,3/11/24,5
CLM0077,Claim Closed,3/20/24,9
CLM0078,Claim Assigned,2/19/24,0
CLM0078,Initial Contact Made,2/20/24,1
CLM0078,Investigation Complete,3/8/24,17
CLM0078,Settlement Offer Made,3/15/24,7
CLM0079,Claim Assigned,3/5/24,0
CLM0079,Initial Contact Made,3/6/24,1
CLM0079,Investigation Complete,4/7/24,32
CLM0080,Claim Assigned,2/7/24,0
CLM0080,Initial Contact Made,2/8/24,1
CLM0080,Investigation Complete,3/12/24,33
CLM0081,Claim Assigned,2/8/24,0
CLM0081,Initial Contact Made,2/9/24,1
CLM0081,Investigation Complete,3/9/24,29
CLM0082,Claim Assigned,2/14/24,0
CLM0082,Initial Contact Made,2/15/24,1
CLM0082,Investigation Complete,3/22/24,36
CLM0082,Settlement Offer Made,3/26/24,4
CLM0082,Claim Closed,4/4/24,9
CLM0083,Claim Assigned,1/29/24,0
CLM0083,Initial Contact Made,1/30/24,1
CLM0083,Investigation Complete,3/9/24,39
CLM0083,Settlement Offer Made,3/14/24,5
CLM0084,Claim Assigned,1/2/24,0
CLM0084,Initial Contact Made,1/3/24,1
CLM0084,Investigation Complete,2/8/24,36
CLM0084,Settlement Offer Made,2/20/24,12
CLM0084,Claim Closed,2/29/24,9
CLM0085,Claim Assigned,3/7/24,0
CLM0085,Initial Contact Made,3/8/24,1
CLM0085,Investigation Complete,3/23/24,15
CLM0085,Settlement Offer Made,3/30/24,7
CLM0085,Claim Closed,4/3/24,4
CLM0086,Claim Assigned,1/2/24,0
CLM0086,Initial Contact Made,1/3/24,1
CLM0087,Claim Assigned,3/6/24,0
CLM0087,Initial Contact Made,3/7/24,1
CLM0087,Investigation Complete,4/8/24,32
CLM0087,Settlement Offer Made,4/15/24,7
CLM0088,Claim Assigned,1/11/24,0
CLM0088,Initial Contact Made,1/12/24,1
CLM0089,Claim Assigned,3/2/24,0
CLM0089,Initial Contact Made,3/3/24,1
CLM0090,Claim Assigned,3/31/24,0
CLM0090,Initial Contact Made,4/1/24,1
CLM0091,Claim Assigned,2/11/24,0
CLM0091,Initial Contact Made,2/12/24,1
CLM0091,Investigation Complete,3/16/24,33
CLM0092,Claim Assigned,3/1/24,0
CLM0092,Initial Contact Made,3/2/24,1
CLM0092,Investigation Complete,4/3/24,32
CLM0092,Settlement Offer Made,4/15/24,12
CLM0092,Claim Closed,4/30/24,15
CLM0093,Claim Assigned,2/3/24,0
CLM0093,Initial Contact Made,2/4/24,1
CLM0094,Claim Assigned,3/18/24,0
CLM0094,Initial Contact Made,3/19/24,1
CLM0094,Investigation Complete,4/20/24,32
CLM0094,Settlement Offer Made,5/3/24,13
CLM0095,Claim Assigned,1/13/24,0
CLM0095,Initial Contact Made,1/14/24,1
CLM0095,Investigation Complete,2/12/24,29
CLM0095,Settlement Offer Made,2/20/24,8
CLM0095,Claim Closed,2/26/24,6
CLM0096,Claim Assigned,3/28/24,0
CLM0096,Initial Contact Made,3/29/24,1
CLM0096,Investigation Complete,4/16/24,18
CLM0097,Claim Assigned,2/24/24,0
CLM0097,Initial Contact Made,2/25/24,1
CLM0097,Investigation Complete,3/12/24,16
CLM0097,Settlement Offer Made,3/17/24,5
CLM0098,Claim Assigned,2/25/24,0
CLM0098,Initial Contact Made,2/26/24,1
CLM0098,Investigation Complete,3/24/24,27
CLM0098,Settlement Offer Made,4/5/24,12
CLM0098,Claim Closed,4/15/24,10
CLM0099,Claim Assigned,1/13/24,0
CLM0099,Initial Contact Made,1/14/24,1
CLM0099,Investigation Complete,2/3/24,20
CLM0099,Settlement Offer Made,2/12/24,9
CLM0099,Claim Closed,2/23/24,11
CLM0100,Claim Assigned,3/21/24,0
CLM0100,Initial Contact Made,3/22/24,1
CLM0100,Investigation Complete,4/17/24,26
CLM0100,Settlement Offer Made,4/24/24,7
CLM0100,Claim Closed,5/6/24,12
CLM0101,Claim Assigned,2/25/24,0
CLM0101,Initial Contact Made,2/26/24,1
CLM0101,Investigation Complete,3/7/24,10
CLM0102,Claim Assigned,1/14/24,0
CLM0102,Initial Contact Made,1/15/24,1
CLM0103,Claim Assigned,1/25/24,0
CLM0103,Initial Contact Made,1/26/24,1
CLM0104,Claim Assigned,1/10/24,0
CLM0104,Initial Contact Made,1/11/24,1
CLM0104,Investigation Complete,2/1/24,21
CLM0105,Claim Assigned,1/22/24,0
CLM0105,Initial Contact Made,1/23/24,1
CLM0106,Claim Assigned,2/25/24,0
CLM0106,Initial Contact Made,2/26/24,1
CLM0107,Claim Assigned,3/2/24,0
CLM0107,Initial Contact Made,3/3/24,1
CLM0107,Investigation Complete,4/11/24,39
CLM0107,Settlement Offer Made,4/22/24,11
CLM0107,Claim Closed,4/28/24,6
CLM0108,Claim Assigned,3/24/24,0
CLM0108,Initial Contact Made,3/25/24,1
CLM0108,Investigation Complete,4/14/24,20
CLM0108,Settlement Offer Made,4/20/24,6
CLM0108,Claim Closed,4/29/24,9
CLM0109,Claim Assigned,3/5/24,0
CLM0109,Initial Contact Made,3/6/24,1
CLM0109,Investigation Complete,3/24/24,18
CLM0109,Settlement Offer Made,4/3/24,10
CLM0110,Claim Assigned,2/6/24,0
CLM0110,Initial Contact Made,2/7/24,1
CLM0111,Claim Assigned,2/1/24,0
CLM0111,Initial Contact Made,2/2/24,1
CLM0111,Investigation Complete,3/9/24,36
CLM0111,Settlement Offer Made,3/12/24,3
CLM0112,Claim Assigned,1/12/24,0
CLM0112,Initial Contact Made,1/13/24,1
CLM0112,Investigation Complete,1/26/24,13
CLM0113,Claim Assigned,2/16/24,0
CLM0113,Initial Contact Made,2/17/24,1
CLM0113,Investigation Complete,3/17/24,29
CLM0113,Settlement Offer Made,3/27/24,10
CLM0113,Claim Closed,4/3/24,7
CLM0114,Claim Assigned,3/13/24,0
CLM0114,Initial Contact Made,3/14/24,1
CLM0114,Investigation Complete,4/3/24,20
CLM0114,Settlement Offer Made,4/14/24,11
CLM0115,Claim Assigned,1/7/24,0
CLM0115,Initial Contact Made,1/8/24,1
CLM0115,Investigation Complete,2/7/24,30
CLM0115,Settlement Offer Made,2/20/24,13
CLM0116,Claim Assigned,1/10/24,0
CLM0116,Initial Contact Made,1/11/24,1
CLM0116,Investigation Complete,2/9/24,29
CLM0117,Claim Assigned,1/24/24,0
CLM0117,Initial Contact Made,1/25/24,1
CLM0117,Investigation Complete,2/23/24,29
CLM0117,Settlement Offer Made,3/7/24,13
CLM0118,Claim Assigned,2/5/24,0
CLM0118,Initial Contact Made,2/6/24,1
CLM0118,Investigation Complete,3/1/24,24
CLM0118,Settlement Offer Made,3/8/24,7
CLM0118,Claim Closed,3/17/24,9
CLM0119,Claim Assigned,2/12/24,0
CLM0119,Initial Contact Made,2/13/24,1
CLM0119,Investigation Complete,3/17/24,33
CLM0119,Settlement Offer Made,4/1/24,15
CLM0120,Claim Assigned,3/22/24,0
CLM0120,Initial Contact Made,3/23/24,1
CLM0120,Investigation Complete,4/7/24,15
CLM0121,Claim Assigned,1/29/24,0
CLM0121,Initial Contact Made,1/30/24,1
CLM0122,Claim Assigned,3/28/24,0
CLM0122,Initial Contact Made,3/29/24,1
CLM0122,Investigation Complete,4/23/24,25
CLM0122,Settlement Offer Made,5/4/24,11
CLM0123,Claim Assigned,1/8/24,0
CLM0123,Initial Contact Made,1/9/24,1
CLM0123,Investigation Complete,1/27/24,18
CLM0124,Claim Assigned,2/10/24,0
CLM0124,Initial Contact Made,2/11/24,1
CLM0124,Investigation Complete,2/23/24,12
CLM0124,Settlement Offer Made,3/7/24,13
CLM0125,Claim Assigned,1/6/24,0
CLM0125,Initial Contact Made,1/7/24,1
CLM0125,Investigation Complete,2/13/24,37
CLM0126,Claim Assigned,1/15/24,0
CLM0126,Initial Contact Made,1/16/24,1
CLM0127,Claim Assigned,3/17/24,0
CLM0127,Initial Contact Made,3/18/24,1
CLM0127,Investigation Complete,3/30/24,12
CLM0127,Settlement Offer Made,4/7/24,8
CLM0127,Claim Closed,4/19/24,12
CLM0128,Claim Assigned,1/22/24,0
CLM0128,Initial Contact Made,1/23/24,1
CLM0129,Claim Assigned,2/18/24,0
CLM0129,Initial Contact Made,2/19/24,1
CLM0130,Claim Assigned,3/9/24,0
CLM0130,Initial Contact Made,3/10/24,1
CLM0130,Investigation Complete,4/12/24,33
CLM0130,Settlement Offer Made,4/20/24,8
CLM0130,Claim Closed,5/4/24,14
CLM0131,Claim Assigned,1/18/24,0
CLM0131,Initial Contact Made,1/19/24,1
CLM0131,Investigation Complete,1/31/24,12
CLM0132,Claim Assigned,1/30/24,0
CLM0132,Initial Contact Made,1/31/24,1
CLM0133,Claim Assigned,1/14/24,0
CLM0133,Initial Contact Made,1/15/24,1
CLM0133,Investigation Complete,2/10/24,26
CLM0134,Claim Assigned,2/12/24,0
CLM0134,Initial Contact Made,2/13/24,1
CLM0134,Investigation Complete,3/19/24,35
CLM0134,Settlement Offer Made,3/24/24,5
CLM0134,Claim Closed,4/3/24,10
CLM0135,Claim Assigned,1/22/24,0
CLM0135,Initial Contact Made,1/23/24,1
CLM0135,Investigation Complete,2/16/24,24
CLM0135,Settlement Offer Made,2/23/24,7
CLM0136,Claim Assigned,1/19/24,0
CLM0136,Initial Contact Made,1/20/24,1
CLM0136,Investigation Complete,2/20/24,31
CLM0136,Settlement Offer Made,3/2/24,11
CLM0137,Claim Assigned,2/27/24,0
CLM0137,Initial Contact Made,2/28/24,1
CLM0137,Investigation Complete,3/9/24,10
CLM0137,Settlement Offer Made,3/18/24,9
CLM0137,Claim Closed,3/21/24,3
CLM0138,Claim Assigned,1/16/24,0
CLM0138,Initial Contact Made,1/17/24,1
CLM0139,Claim Assigned,1/8/24,0
CLM0139,Initial Contact Made,1/9/24,1
CLM0140,Claim Assigned,2/7/24,0
CLM0140,Initial Contact Made,2/8/24,1
CLM0141,Claim Assigned,2/9/24,0
CLM0141,Initial Contact Made,2/10/24,1
CLM0141,Investigation Complete,3/2/24,21
CLM0141,Settlement Offer Made,3/7/24,5
CLM0141,Claim Closed,3/13/24,6
CLM0142,Claim Assigned,2/23/24,0
CLM0142,Initial Contact Made,2/24/24,1
CLM0142,Investigation Complete,3/22/24,27
CLM0142,Settlement Offer Made,4/4/24,13
CLM0142,Claim Closed,4/16/24,12
CLM0143,Claim Assigned,2/8/24,0
CLM0143,Initial Contact Made,2/9/24,1
CLM0143,Investigation Complete,2/20/24,11
CLM0143,Settlement Offer Made,3/3/24,12
CLM0144,Claim Assigned,3/2/24,0
CLM0144,Initial Contact Made,3/3/24,1
CLM0144,Investigation Complete,3/21/24,18
CLM0144,Settlement Offer Made,3/30/24,9
CLM0144,Claim Closed,4/7/24,8
CLM0145,Claim Assigned,1/20/24,0
CLM0145,Initial Contact Made,1/21/24,1
CLM0146,Claim Assigned,1/3/24,0
CLM0146,Initial Contact Made,1/4/24,1
CLM0146,Investigation Complete,2/2/24,29
CLM0146,Settlement Offer Made,2/14/24,12
CLM0146,Claim Closed,2/19/24,5
CLM0147,Claim Assigned,3/24/24,0
CLM0147,Initial Contact Made,3/25/24,1
CLM0147,Investigation Complete,4/20/24,26
CLM0148,Claim Assigned,2/19/24,0
CLM0148,Initial Contact Made,2/20/24,1
CLM0148,Investigation Complete,3/3/24,12
CLM0149,Claim Assigned,2/6/24,0
CLM0149,Initial Contact Made,2/7/24,1
CLM0149,Investigation Complete,3/12/24,34
CLM0149,Settlement Offer Made,3/16/24,4
CLM0149,Claim Closed,3/19/24,3
CLM0150,Claim Assigned,2/28/24,0
CLM0150,Initial Contact Made,2/29/24,1
CLM0151,Claim Assigned,3/7/24,0
CLM0151,Initial Contact Made,3/8/24,1
CLM0151,Investigation Complete,3/18/24,10
CLM0152,Claim Assigned,3/11/24,0
CLM0152,Initial Contact Made,3/12/24,1
CLM0152,Investigation Complete,4/19/24,38
CLM0152,Settlement Offer Made,4/25/24,6
CLM0153,Claim Assigned,1/26/24,0
CLM0153,Initial Contact Made,1/27/24,1
CLM0153,Investigation Complete,2/9/24,13
CLM0154,Claim Assigned,1/22/24,0
CLM0154,Initial Contact Made,1/23/24,1
CLM0154,Investigation Complete,2/26/24,34
CLM0154,Settlement Offer Made,3/4/24,7
CLM0155,Claim Assigned,3/10/24,0
CLM0155,Initial Contact Made,3/11/24,1
CLM0155,Investigation Complete,3/27/24,16
CLM0156,Claim Assigned,3/7/24,0
CLM0156,Initial Contact Made,3/8/24,1
CLM0156,Investigation Complete,4/17/24,40
CLM0157,Claim Assigned,3/13/24,0
CLM0157,Initial Contact Made,3/14/24,1
CLM0157,Investigation Complete,4/20/24,37
CLM0158,Claim Assigned,1/24/24,0
CLM0158,Initial Contact Made,1/25/24,1
CLM0159,Claim Assigned,1/6/24,0
CLM0159,Initial Contact Made,1/7/24,1
CLM0160,Claim Assigned,3/15/24,0
CLM0160,Initial Contact Made,3/16/24,1
CLM0161,Claim Assigned,1/25/24,0
CLM0161,Initial Contact Made,1/26/24,1
CLM0161,Investigation Complete,2/27/24,32
CLM0162,Claim Assigned,3/19/24,0
CLM0162,Initial Contact Made,3/20/24,1
CLM0162,Investigation Complete,4/10/24,21
CLM0162,Settlement Offer Made,4/21/24,11
CLM0162,Claim Closed,5/5/24,14
CLM0163,Claim Assigned,2/3/24,0
CLM0163,Initial Contact Made,2/4/24,1
CLM0163,Investigation Complete,2/22/24,18
CLM0164,Claim Assigned,1/23/24,0
CLM0164,Initial Contact Made,1/24/24,1
CLM0164,Investigation Complete,2/6/24,13
CLM0165,Claim Assigned,2/13/24,0
CLM0165,Initial Contact Made,2/14/24,1
CLM0165,Investigation Complete,3/2/24,17
CLM0165,Settlement Offer Made,3/17/24,15
CLM0165,Claim Closed,3/27/24,10
CLM0166,Claim Assigned,2/10/24,0
CLM0166,Initial Contact Made,2/11/24,1
CLM0166,Investigation Complete,3/13/24,31
CLM0166,Settlement Offer Made,3/18/24,5
CLM0166,Claim Closed,3/22/24,4
CLM0167,Claim Assigned,2/5/24,0
CLM0167,Initial Contact Made,2/6/24,1
CLM0168,Claim Assigned,3/22/24,0
CLM0168,Initial Contact Made,3/23/24,1
CLM0169,Claim Assigned,1/3/24,0
CLM0169,Initial Contact Made,1/4/24,1
CLM0169,Investigation Complete,1/16/24,12
CLM0169,Settlement Offer Made,1/26/24,10
CLM0169,Claim Closed,2/6/24,11
CLM0170,Claim Assigned,2/19/24,0
CLM0170,Initial Contact Made,2/20/24,1
CLM0170,Investigation Complete,3/8/24,17
CLM0170,Settlement Offer Made,3/14/24,6
CLM0170,Claim Closed,3/22/24,8
CLM0171,Claim Assigned,3/31/24,0
CLM0171,Initial Contact Made,4/1/24,1
CLM0171,Investigation Complete,5/9/24,38
CLM0172,Claim Assigned,1/23/24,0
CLM0172,Initial Contact Made,1/24/24,1
CLM0172,Investigation Complete,2/7/24,14
CLM0172,Settlement Offer Made,2/17/24,10
CLM0172,Claim Closed,2/28/24,11
CLM0173,Claim Assigned,2/4/24,0
CLM0173,Initial Contact Made,2/5/24,1
CLM0173,Investigation Complete,2/18/24,13
CLM0174,Claim Assigned,3/17/24,0
CLM0174,Initial Contact Made,3/18/24,1
CLM0175,Claim Assigned,1/15/24,0
CLM0175,Initial Contact Made,1/16/24,1
CLM0175,Investigation Complete,2/19/24,34
CLM0176,Claim Assigned,2/20/24,0
CLM0176,Initial Contact Made,2/21/24,1
CLM0176,Investigation Complete,3/25/24,33
CLM0177,Claim Assigned,3/4/24,0
CLM0177,Initial Contact Made,3/5/24,1
CLM0177,Investigation Complete,3/27/24,22
CLM0178,Claim Assigned,1/22/24,0
CLM0178,Initial Contact Made,1/23/24,1
CLM0178,Investigation Complete,2/18/24,26
CLM0178,Settlement Offer Made,2/26/24,8
CLM0178,Claim Closed,3/2/24,5
CLM0179,Claim Assigned,2/29/24,0
CLM0179,Initial Contact Made,3/1/24,1
CLM0179,Investigation Complete,3/25/24,24
CLM0179,Settlement Offer Made,4/2/24,8
CLM0179,Claim Closed,4/16/24,14
CLM0180,Claim Assigned,3/8/24,0
CLM0180,Initial Contact Made,3/9/24,1
CLM0180,Investigation Complete,3/27/24,18
CLM0181,Claim Assigned,1/17/24,0
CLM0181,Initial Contact Made,1/18/24,1
